record_id,context,rom_offset,raw_bytes,english_text,normalized_key,korean_text,translation_source,payload_length,korean_length,length_delta,control_bytes,missing_glyphs,runtime_evidence,readiness,patch_authorized
EN-NAME-013,Bank 1 name-table area,0x0569D,FF,<FF>,,,,0,0,,,,frame-883-target,UNMAPPED_GLOSSARY,False
EN-NAME-014,Bank 1 name-table area,0x0569E,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-015,Bank 1 name-table area,0x0569F,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-016,Bank 1 name-table area,0x056A0,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-017,Bank 1 name-table area,0x056A1,8F 8D 8F 8E FF,OMON<FF>,OMON,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-018,Bank 1 name-table area,0x056A6,92 81 8F FF,RAO<FF>,RAO,,,3,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-019,Bank 1 name-table area,0x056AA,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-NAME-020,Bank 1 name-table area,0x056AB,93 81 8E 8B 89 05 7B 19 7B 0F 7B 14 7B 0A 7B AC 96,SANKI<05><7B><19><7B><0F><7B><14><7B><0A><7B><AC>V,SANKIV,,,17,0,,0x05 0x7B 0x19 0x7B 0x0F 0x7B 0x14 0x7B 0x0A 0x7B 0xAC,,none,UNMAPPED_GLOSSARY,False
EN-PRE-000,Bank 1 pre-pointer text area,0x056BC,99 95 8B 89 FF,YUKI<FF>,YUKI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-001,Bank 1 pre-pointer text area,0x056C1,89 94 8F 8B 89 93 81 8B 89 FF,ITOKISAKI<FF>,ITOKISAKI,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-002,Bank 1 pre-pointer text area,0x056CB,94 81 8D 8F FF,TAMO<FF>,TAMO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-003,Bank 1 pre-pointer text area,0x056D0,93 81 89 9A 8F 88 81 87 89 FF,SAIZOHAGI<FF>,SAIZOHAGI,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-004,Bank 1 pre-pointer text area,0x056DA,88 81 93 88 89 8B 8F 93 95 FF,HASHIKOSU<FF>,HASHIKOSU,,,9,0,,,,frame-883-target,UNMAPPED_GLOSSARY,False
EN-PRE-005,Bank 1 pre-pointer text area,0x056E4,88 81 8E 93 95 8B 8F 95 85 FF,HANSUKOUE<FF>,HANSUKOUE,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-006,Bank 1 pre-pointer text area,0x056EE,88 89 92 81 FF,HIRA<FF>,HIRA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-007,Bank 1 pre-pointer text area,0x056F3,88 89 84 85 FF,HIDE<FF>,HIDE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-008,Bank 1 pre-pointer text area,0x056F8,81 93 88 89 FF,ASHI<FF>,ASHI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-009,Bank 1 pre-pointer text area,0x056FD,82 85 8E FF,BEN<FF>,BEN,,,3,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-010,Bank 1 pre-pointer text area,0x05701,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-011,Bank 1 pre-pointer text area,0x05702,93 81 89 94 81 8D 8F 85 8D 8F 8D 95 92 81 FF,SAITAMOEMOMURA<FF>,SAITAMOEMOMURA,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-012,Bank 1 pre-pointer text area,0x05711,93 81 84 81 FF,SADA<FF>,SADA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-013,Bank 1 pre-pointer text area,0x05716,93 85 8B 89 FF,SEKI<FF>,SEKI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-014,Bank 1 pre-pointer text area,0x0571B,99 8F 94 93 95 94 8F 8D 8F FF,YOTSUTOMO<FF>,YOTSUTOMO,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-015,Bank 1 pre-pointer text area,0x05725,8B 95 8D 81 FF,KUMA<FF>,KUMA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-016,Bank 1 pre-pointer text area,0x0572A,97 81 94 81 FF,WATA<FF>,WATA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-017,Bank 1 pre-pointer text area,0x0572F,95 92 81 85 FF,URAE<FF>,URAE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-018,Bank 1 pre-pointer text area,0x05734,94 8F 8D 85 FF,TOME<FF>,TOME,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-019,Bank 1 pre-pointer text area,0x05739,8F 8E 8F 8B 89 99 81 94 81 FF,ONOKIYATA<FF>,ONOKIYATA,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-020,Bank 1 pre-pointer text area,0x05743,89 93 8F 92 8F 92 89 88 85 89 83 88 89 85 FF,ISORORIHEICHIE<FF>,ISORORIHEICHIE,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-021,Bank 1 pre-pointer text area,0x05752,93 95 8D 89 FF,SUMI<FF>,SUMI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-022,Bank 1 pre-pointer text area,0x05757,93 88 89 8E FF,SHIN<FF>,SHIN,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-023,Bank 1 pre-pointer text area,0x0575C,8D 95 8E 85 FF,MUNE<FF>,MUNE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-024,Bank 1 pre-pointer text area,0x05761,87 85 8E 93 95 8F 89 93 81 FF,GENSUOISA<FF>,GENSUOISA,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-025,Bank 1 pre-pointer text area,0x0576B,88 85 8D 8F FF,HEMO<FF>,HEMO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-026,Bank 1 pre-pointer text area,0x05770,99 8F 94 81 FF,YOTA<FF>,YOTA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-027,Bank 1 pre-pointer text area,0x05775,8B 81 8D 85 FF,KAME<FF>,KAME,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-028,Bank 1 pre-pointer text area,0x0577A,94 81 8B 89 FF,TAKI<FF>,TAKI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-029,Bank 1 pre-pointer text area,0x0577F,88 89 93 81 FF,HISA<FF>,HISA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-030,Bank 1 pre-pointer text area,0x05784,93 81 88 85 89 8B 89 93 95 FF,SAHEIKISU<FF>,SAHEIKISU,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-031,Bank 1 pre-pointer text area,0x0578E,8E 8F 92 89 FF,NORI<FF>,NORI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-032,Bank 1 pre-pointer text area,0x05793,8B 8F 95 8B 89 93 95 85 8D 81 94 81 8B 85 FF,KOUKISUEMATAKE<FF>,KOUKISUEMATAKE,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-033,Bank 1 pre-pointer text area,0x057A2,95 8D 85 8D 81 82 8F 82 95 FF,UMEMABOBU<FF>,UMEMABOBU,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-034,Bank 1 pre-pointer text area,0x057AC,99 95 95 85 FF,YUUE<FF>,YUUE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-035,Bank 1 pre-pointer text area,0x057B1,99 8F 93 88 89 92 89 88 85 FF,YOSHIRIHE<FF>,YOSHIRIHE,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-036,Bank 1 pre-pointer text area,0x057BB,88 81 83 88 89 84 85 9A 8F 95 8B 95 8D 89 FF,HACHIDEZOUKUMI<FF>,HACHIDEZOUKUMI,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-037,Bank 1 pre-pointer text area,0x057CA,94 81 92 8F FF,TARO<FF>,TARO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-038,Bank 1 pre-pointer text area,0x057CF,95 92 81 93 81 99 8F 8E 85 FF,URASAYONE<FF>,URASAYONE,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-039,Bank 1 pre-pointer text area,0x057D9,93 88 89 8D 81 94 85 92 95 FF,SHIMATERU<FF>,SHIMATERU,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-040,Bank 1 pre-pointer text area,0x057E3,93 95 99 81 FF,SUYA<FF>,SUYA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-041,Bank 1 pre-pointer text area,0x057E8,8D 8F 92 89 FF,MORI<FF>,MORI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-042,Bank 1 pre-pointer text area,0x057ED,89 93 88 89 FF,ISHI<FF>,ISHI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-043,Bank 1 pre-pointer text area,0x057F2,93 81 8B 95 FF,SAKU<FF>,SAKU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-044,Bank 1 pre-pointer text area,0x057F7,95 92 81 8A 89 93 88 89 82 81 8A 8D 87 91 FF,URAJISHIBAJMGQ<FF>,URAJISHIBAJMGQ,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-045,Bank 1 pre-pointer text area,0x05806,93 88 89 92 8F 8A 95 8E 9A 8F 89 8E 85 94 81 81 8B 89 9A 8F 99 95 92 89 FF,SHIROJUNZOINETAAKIZOYURI<FF>,SHIROJUNZOINETAAKIZOYURI,,,24,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-046,Bank 1 pre-pointer text area,0x0581F,93 95 94 85 FF,SUTE<FF>,SUTE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-047,Bank 1 pre-pointer text area,0x05824,93 88 95 95 FF,SHUU<FF>,SHUU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-048,Bank 1 pre-pointer text area,0x05829,85 82 89 8E 8F 83 88 89 8A 89 81 94 93 95 FF,EBINOCHIJIATSU<FF>,EBINOCHIJIATSU,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-049,Bank 1 pre-pointer text area,0x05838,8B 81 8E 81 FF,KANA<FF>,KANA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-050,Bank 1 pre-pointer text area,0x0583D,93 95 8B 85 FF,SUKE<FF>,SUKE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-051,Bank 1 pre-pointer text area,0x05842,87 8F 93 95 FF,GOSU<FF>,GOSU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-052,Bank 1 pre-pointer text area,0x05847,94 93 95 8E 8F 8B 89 8B 95 FF,TSUNOKIKU<FF>,TSUNOKIKU,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-053,Bank 1 pre-pointer text area,0x05851,94 8F 93 88 89 94 93 95 8B 89 8F 82 89 93 81 99 81 93 95 FF,TOSHITSUKIOBISAYASU<FF>,TOSHITSUKIOBISAYASU,,,19,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-054,Bank 1 pre-pointer text area,0x05865,8B 85 8E 87 8F 8D 81 8E 93 89 8B 81 94 93 95 93 8F 8E 8F FF,KENGOMANSIKATSUSONO<FF>,KENGOMANSIKATSUSONO,,,19,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-055,Bank 1 pre-pointer text area,0x05879,87 8F 93 81 FF,GOSA<FF>,GOSA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-056,Bank 1 pre-pointer text area,0x0587E,94 8F 95 82 85 9A 85 8E 85 FF,TOUBEZENE<FF>,TOUBEZENE,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-057,Bank 1 pre-pointer text area,0x05888,8F 8D 85 8E 8F 8D 8F 83 88 89 93 88 8F 95 FF,OMENOMOCHISHOU<FF>,OMENOMOCHISHOU,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-058,Bank 1 pre-pointer text area,0x05897,89 8E 87 8F FF,INGO<FF>,INGO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-059,Bank 1 pre-pointer text area,0x0589C,8E 85 88 81 FF,NEHA<FF>,NEHA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-060,Bank 1 pre-pointer text area,0x058A1,94 85 8D 81 FF,TEMA<FF>,TEMA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-061,Bank 1 pre-pointer text area,0x058A6,8D 8F 88 85 FF,MOHE<FF>,MOHE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-062,Bank 1 pre-pointer text area,0x058AB,93 8F 8D 85 FF,SOME<FF>,SOME,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-063,Bank 1 pre-pointer text area,0x058B0,8B 81 8D 8F FF,KAMO<FF>,KAMO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-064,Bank 1 pre-pointer text area,0x058B5,8D 81 94 81 FF,MATA<FF>,MATA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-065,Bank 1 pre-pointer text area,0x058BA,95 8B 89 FF,UKI<FF>,UKI,,,3,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-066,Bank 1 pre-pointer text area,0x058BE,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-067,Bank 1 pre-pointer text area,0x058BF,87 8F 92 8F FF,GORO<FF>,GORO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-068,Bank 1 pre-pointer text area,0x058C4,8B 8F 94 81 FF,KOTA<FF>,KOTA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-069,Bank 1 pre-pointer text area,0x058C9,94 93 95 84 81 89 8E 8F 93 95 95 8D 85 94 81 95 93 95 8B 85 8D 81 8E 87 8F 8E 85 8E 8B 89 8B 95 92 8F FF,TSUDAINOSUUMETAUSUKEMANGONENKIKURO<FF>,TSUDAINOSUUMETAUSUKEMANGONENKIKURO,,,34,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-070,Bank 1 pre-pointer text area,0x058EC,94 85 88 81 FF,TEHA<FF>,TEHA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-071,Bank 1 pre-pointer text area,0x058F1,93 85 8E 82 85 93 85 8E 90 81 88 8F 8D 85 FF,SENBESENPAHOME<FF>,SENBESENPAHOME,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-072,Bank 1 pre-pointer text area,0x05900,94 81 88 81 FF,TAHA<FF>,TAHA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-073,Bank 1 pre-pointer text area,0x05905,8B 89 83 88 89 8E 85 94 81 FF,KICHINETA<FF>,KICHINETA,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-074,Bank 1 pre-pointer text area,0x0590F,94 81 87 8F FF,TAGO<FF>,TAGO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-075,Bank 1 pre-pointer text area,0x05914,8D 81 8E 90 85 8B 85 94 81 FF,MANPEKETA<FF>,MANPEKETA,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-076,Bank 1 pre-pointer text area,0x0591E,8B 95 8E 8B 89 8D 8F 8D 8F FF,KUNKIMOMO<FF>,KUNKIMOMO,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-077,Bank 1 pre-pointer text area,0x05928,94 81 8E 85 FF,TANE<FF>,TANE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-078,Bank 1 pre-pointer text area,0x0592D,88 85 8B 8F FF,HEKO<FF>,HEKO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-079,Bank 1 pre-pointer text area,0x05932,8D 81 94 81 81 8D 85 88 85 89 8D 81 93 95 FF,MATAAMEHEIMASU<FF>,MATAAMEHEIMASU,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-080,Bank 1 pre-pointer text area,0x05941,95 8E 8A 89 FF,UNJI<FF>,UNJI,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-081,Bank 1 pre-pointer text area,0x05946,8D 8F 8E 8F FF,MONO<FF>,MONO,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-082,Bank 1 pre-pointer text area,0x0594B,84 85 8E 93 95 95 8D 85 93 89 8D 81 87 8F FF,DENSUUMESIMAGO<FF>,DENSUUMESIMAGO,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-083,Bank 1 pre-pointer text area,0x0595A,92 81 88 81 FF,RAHA<FF>,RAHA,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-084,Bank 1 pre-pointer text area,0x0595F,8D 8F 88 85 89 93 85 8E 92 8F 83 88 8F 95 FF,MOHEISENROCHOU<FF>,MOHEISENROCHOU,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-085,Bank 1 pre-pointer text area,0x0596E,8B 81 8E FF,KAN<FF>,KAN,,,3,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-086,Bank 1 pre-pointer text area,0x05972,FF,<FF>,,,,0,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-087,Bank 1 pre-pointer text area,0x05973,8B 81 8E 90 81 89 8D 8F 88 81 8D 89 8E 8F FF,KANPAIMOHAMINO<FF>,KANPAIMOHAMINO,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-088,Bank 1 pre-pointer text area,0x05982,8B 81 8E 94 81 86 95 8E 85 FF,KANTAFUNE<FF>,KANTAFUNE,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-089,Bank 1 pre-pointer text area,0x0598C,8B 81 8E 93 95 93 95 8A 89 FF,KANSUSUJI<FF>,KANSUSUJI,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-090,Bank 1 pre-pointer text area,0x05996,93 89 83 88 89 95 93 88 89 FF,SICHIUSHI<FF>,SICHIUSHI,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-091,Bank 1 pre-pointer text area,0x059A0,92 8F 88 85 89 8B 8F 8D 85 FF,ROHEIKOME<FF>,ROHEIKOME,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-092,Bank 1 pre-pointer text area,0x059AA,87 8F 82 85 85 9A 85 8E 8A 89 93 95 8E 85 FF,GOBEEZENJISUNE<FF>,GOBEEZENJISUNE,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-093,Bank 1 pre-pointer text area,0x059B9,8B 89 8E 85 FF,KINE<FF>,KINE,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-094,Bank 1 pre-pointer text area,0x059BE,93 95 9A 95 FF,SUZU<FF>,SUZU,,,4,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-095,Bank 1 pre-pointer text area,0x059C3,89 8E 85 8D 8F 88 81 94 81 FF,INEMOHATA<FF>,INEMOHATA,,,9,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-096,Bank 1 pre-pointer text area,0x059CD,95 8E 8F 8D 81 99 81 85 8E 8F 8E 85 8B 89 FF,UNOMAYAENONEKI<FF>,UNOMAYAENONEKI,,,14,0,,,,none,UNMAPPED_GLOSSARY,False
EN-PRE-097,Bank 1 pre-pointer text area,0x059DC,6A 9A 6A 9A 71 9A 78 9A 7E 9A 85 9A 8E 9A 95 9A 9D 9A A3 9A AB 9A B2 9A BB 9A C1 9A C9 9A D2 9A DB 9A E4 9A EC 9A F4 9A FB 9A 03 9B 0B 9B 14 9B 1C 9B 25 9B 2D 9B 34 9B 39 9B 3E 9B 43 9B 48 9B 4C 9B 51 9B 59 9B 5F 9B 68 9B 6F 9B 75 9B 7B 9B 84 9B 8A 9B 92 9B 99 9B A1 9B A9 9B AF 9B B8 9B C0 9B C6 9B CD 9B D4 9B D9 9B E1 9B E7 9B EE 9B F5 9B FC 9B 04 9C 09 9C 0F 9C 15 9C 1E 9C 26 9C 2F 9C 35 9C 3D 9C 44 9C 4B 9C 52 9C 59 9C 62 9C 6B 9C 74 9C 7D 9C 85 9C 8C 9C 95 9C 9C 9C 8D BA 86 89 93 94 FF,<6A>Z<6A>Z<71>Z<78>Z<7E>ZEZNZUZ<9D>Z<A3>Z<AB>Z<B2>Z<BB>Z<C1>Z<C9>Z<D2>Z<DB>Z<E4>Z<EC>Z<F4>Z<FB>Z<03><9B><0B><9B><14><9B><1C><9B><25><9B><2D><9B><34><9B><39><9B><3E><9B><43><9B><48><9B><4C><9B><51><9B><59><9B><5F><9B><68><9B><6F><9B><75><9B><7B><9B>D<9B>J<9B>R<9B>Y<9B><A1><9B><A9><9B><AF><9B><B8><9B><C0><9B><C6><9B><CD><9B><D4><9B><D9><9B><E1><9B><E7><9B><EE><9B><F5><9B><FC><9B><04><9C><09><9C><0F><9C><15><9C><1E><9C><26><9C><2F><9C><35><9C><3D><9C><44><9C><4B><9C><52><9C><59><9C><62><9C><6B><9C><74><9C><7D><9C>E<9C>L<9C>U<9C><9C><9C>M<BA>FIST<FF>,ZZZZZEZNZUZZZZZZZZZZZZZZDJRYELUMFIST,,,164,0,,0x6A 0x6A 0x71 0x78 0x7E 0x9D 0xA3 0xAB 0xB2 0xBB 0xC1 0xC9 0xD2 0xDB 0xE4 0xEC 0xF4 0xFB 0x03 0x9B 0x0B 0x9B 0x14 0x9B 0x1C 0x9B 0x25 0x9B 0x2D 0x9B 0x34 0x9B 0x39 0x9B 0x3E 0x9B 0x43 0x9B 0x48 0x9B 0x4C 0x9B 0x51 0x9B 0x59 0x9B 0x5F 0x9B 0x68 0x9B 0x6F 0x9B 0x75 0x9B 0x7B 0x9B 0x9B 0x9B 0x9B 0x9B 0xA1 0x9B 0xA9 0x9B 0xAF 0x9B 0xB8 0x9B 0xC0 0x9B 0xC6 0x9B 0xCD 0x9B 0xD4 0x9B 0xD9 0x9B 0xE1 0x9B 0xE7 0x9B 0xEE 0x9B 0xF5 0x9B 0xFC 0x9B 0x04 0x9C 0x09 0x9C 0x0F 0x9C 0x15 0x9C 0x1E 0x9C 0x26 0x9C 0x2F 0x9C 0x35 0x9C 0x3D 0x9C 0x44 0x9C 0x4B 0x9C 0x52 0x9C 0x59 0x9C 0x62 0x9C 0x6B 0x9C 0x74 0x9C 0x7D 0x9C 0x9C 0x9C 0x9C 0x9C 0x9C 0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-098,Bank 1 pre-pointer text area,0x05A81,8D BA 8B 89 83 8B FF,M<BA>KICK<FF>,MKICK,,,6,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-099,Bank 1 pre-pointer text area,0x05A88,8D BA 97 90 8E FF,M<BA>WPN<FF>,MWPN,,,5,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-100,Bank 1 pre-pointer text area,0x05A8E,85 BA 94 8F 92 90 FF,E<BA>TORP<FF>,ETORP,,,6,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-101,Bank 1 pre-pointer text area,0x05A95,8E BA 81 94 94 81 83 8B FF,N<BA>ATTACK<FF>,NATTACK,,,8,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-102,Bank 1 pre-pointer text area,0x05A9E,8D BA 86 95 8D 89 FF,M<BA>FUMI<FF>,MFUMI,,,6,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-103,Bank 1 pre-pointer text area,0x05AA5,88 BA 87 95 81 92 84 FF,H<BA>GUARD<FF>,HGUARD,,,7,0,,0xBA,,none,UNMAPPED_GLOSSARY,False
EN-PRE-104,Bank 1 pre-pointer text area,0x05AAD,93 83 92 85 97 FF,SCREW<FF>,SCREW,회,direct_low_korean_labels,5,0,,,회,none,BLOCKED_MISSING_GLYPH,False
EN-PRE-105,Bank 1 pre-pointer text area,0x05AB3,94 8F 92 8E 81 84 8F FF,TORNADO<FF>,TORNADO,회리,direct_low_korean_labels,7,0,,,회,none,BLOCKED_MISSING_GLYPH,False
