pointer_index,page_index,segment_lengths,max_segment_cells,level,korean_text
79,28,"1,15",15,PASS,큰두목이 고맙다고 전하더군
80,5,"1,11,13",13,PASS,아사지가 정말 누구를 섬기는지 알아내야 한다
81,12,"1,9,9",9,PASS,내가 큰두목이다. 난 나쁘고 강하다
82,19,"1,18",18,PASS,"용서해 줘, 형제여. 내가 잘못했다"
83,19,"1,4",4,PASS,형제여
84,29,"1,8,8",8,PASS,"허허, 내 기막힌 계획은 어떤가?"
85,12,"1,11,11",11,PASS,해야 할 일은 저자를 없애는 것뿐이다
86,25,"1,7,3",7,PASS,뒤를 조심해라. 히히
87,3,"2,12,11",12,PASS,"토라, 이 멍청이들이 여기까지 왔다니 믿을 수 없군"
88,8,"3,5,12",12,PASS,"아사지, 너희 둘은 골칫거리가 되어 가는군"
89,20,"3,7,5",7,PASS,"아사지, 저들을 어떻게 처리할까?"
90,29,"2,5,6",6,PASS,"토라, 내가 직접 처리하겠다"
91,30,"1,8,3",8,PASS,"이런, 너희 정말 독하군"
92,46,"1,6",6,PASS,배짱은 있군
93,44,"1,10",10,PASS,아직 살아 있었군
94,32,"3,6,2",6,PASS,"아사지, 이 쓸모없는 자식"
95,9,"1,17,5",17,PASS,"그래, 또 만났군. 토라를 이겼다고? 대단하군"
96,22,"1,16",16,PASS,"여기 있다, 이 부적을 받아라"
97,44,"1,8",8,PASS,지금 장난하냐?
98,13,"1,17,4",17,PASS,이제라면 그를 이길 수 있을지도 모른다
99,16,"1,10,3,5",10,PASS,"배짱이 있다면 나와 싸워라, 아사지"
100,46,"1,7",7,PASS,나도 끼워 줘
101,28,"1,8,4",8,PASS,큰두목이 이것을 주셨다
102,44,"1,3,5",5,PASS,안 돼! 큰두목님
103,32,"1,8,5",8,PASS,이 일은 나중에 결판내자
104,29,"3,10,2",10,PASS,"아사지, 너희를 박살내 주마"
105,13,"2,11,10",11,PASS,하지만 먼저 너희에게 진실을 알려 주지
106,30,"2,14",14,PASS,너희는 그저 꼭두각시였어
107,24,"3,13",13,PASS,"아사지, 죽기 전에 실컷 기도해라"
108,38,"1,12",12,PASS,"허허, 이 멍청한 자식들"
109,9,"1,13,9,1",13,PASS,이 비디오 게임의 음악은 정말 멋지지 않나?
110,33,"1,7,4",7,PASS,또 얻어맞으러 돌아왔군
111,6,"1,2",2,PASS,어?
112,47,"1,9",9,PASS,받아라! 뭐라고?
113,41,"1,9",9,PASS,이제 정말 화났다
114,42,"1,2",2,PASS,꺄악!
115,26,"1,5",5,PASS,둠디둠
116,47,"1,6",6,PASS,"이봐, 풋내기!"
117,23,"1,6",6,PASS,한 번만 더!
118,48,"1,5",5,PASS,락 앤 롤!
119,41,"1,9",9,PASS,"이런, 정말 별로군"
120,17,"1,2",2,PASS,이런!
121,44,"1,10,2",10,PASS,이게 대체 뭐야?
122,33,"1,13",13,PASS,내가 녀석들을 때려 주지
123,39,"1,7,2",7,PASS,네놈을 박살내 주마
124,48,"1,6",6,PASS,"이봐, 겁쟁이!"
125,44,"1,7",7,PASS,이거나 먹어라!
126,41,"1,9",9,PASS,널 기억해 두겠다
127,32,"1,3",3,PASS,으에!
128,48,"1,3",3,PASS,으악!
129,32,"1,4",4,PASS,이 자식!
130,32,"1,2",2,PASS,으아!
131,28,"1,1",1,PASS,꺄!
132,42,"1,2",2,PASS,꺄악!
133,48,"1,3",3,PASS,으악!
134,5,"1,6",6,PASS,아야야야!
135,47,6,6,PASS,어서 오세요
136,39,10,10,PASS,무엇을 원하시나요?
137,33,13,13,PASS,소지품이 가득 찼습니다
138,41,"6,3",6,PASS,돈이 부족합니다
139,41,9,9,PASS,정말 확실한가요?
140,36,5,5,PASS,고맙습니다
141,43,7,7,PASS,먹었습니다
142,47,7,7,PASS,마셨습니다
143,47,7,7,PASS,얻었습니다
144,10,8,8,PASS,장착했습니다
145,39,12,12,PASS,다른 것은 더 없나요?
146,36,"5,5",5,PASS,고맙습니다. 또 오세요
147,36,11,11,PASS,여기 머무르시겠어요?
148,47,6,6,PASS,편히 쉬세요
149,45,6,6,PASS,회복했습니다
150,42,10,10,PASS,도박을 해 볼래요?
151,18,7,7,PASS,준비됐습니다
152,47,6,6,PASS,지금 가세요
153,14,24,24,WARN,우리는 이것과 저것을 가지고 있습니다
154,18,5,5,PASS,이겼습니다
155,14,5,5,PASS,졌습니다
156,48,5,5,PASS,그렇군요
157,39,"2,7",7,PASS,"산키, 다시 오셨군요"
158,42,"1,11",11,PASS,무언가 필요하신가요?
159,48,"1,4",4,PASS,천만에요
160,42,"1,11",11,PASS,무언가 필요하신가요?
161,47,"1,5",5,PASS,조심하세요
163,39,9,9,PASS,동료를 선택하세요
164,10,"7,2,6",7,PASS,"산키, 오코토는 괜찮습니다"
165,10,"2,10,7",10,PASS,"산키, 두 사람이 번개처럼 나타났습니다"
166,10,"5,17",17,PASS,"산키, 저는 아무것도 못 했습니다. 미안합니다"
167,24,"1,7,6,4",7,PASS,바보들! 우리가 그들을 찾을 것이다
168,20,"1,10,7",10,PASS,그 한방약이 효과가 있었어! 나았어
169,34,"1,3,3,7",7,PASS,드디어 토라와 싸울 수 있어
170,34,"1,8,11",11,PASS,이 부적이 너를 지켜 줄 거야
171,19,"1,9,9",9,PASS,여기서 기다릴게. 오코토를 구해 줘
172,2,"1,3",3,PASS,그래
173,32,"3,13",13,PASS,"아사지, 후지로 가는 게 어때?"
174,21,"1,10,5",10,PASS,큰두목에게 확인하고 가야겠어
175,37,"1,10,4",10,PASS,"부탁이야, 나를 보내 줘"
176,14,"1,6,15",15,PASS,누군가 이것을 문 앞에 두고 갔어
177,20,"3,4,2,4",4,PASS,"오코토, 아사지가 나를 납치했어"
178,30,"1,5,11",11,PASS,집에 가. 모두가 걱정하고 있어
179,25,"3,10,5",10,PASS,"오코토, 흐느낌. 고마워. 조심해"
180,20,"1,7,5",7,PASS,아사지가 사라졌어
181,42,"2,2,3",3,PASS,"츠우, 오빠! 기다려!"
182,14,"3,7,8",8,PASS,"쿠니오, 서둘러! 분조가 곤경에 빠졌어!"
183,25,"3,3",3,PASS,"오코토, 쿠니오!"
184,25,"3,12",12,PASS,"쿠니오, 서둘러 돌아오려고 했어"
185,6,"3,6",6,PASS,"오코토, 이 사람은"
186,21,"3,9,5",9,PASS,"아사지, 나는 오코토의 약혼자야"
187,45,"2,5",5,PASS,그건 두고 보자
188,5,"3,5,4,6",6,PASS,"아사지, 조용히 해. 두목님이 기다리신다"
189,25,"1,7,5",7,PASS,"오, 스승님! 늦어서 죄송합니다"
190,33,"1,7,3",7,PASS,"아, 쿠니오! 드디어 왔구나"
191,24,"3,11",11,PASS,토라가 나에게 저주를 걸었다
192,8,"4,5",5,PASS,치료사를 찾아가라
193,26,"4,12",12,PASS,한방약을 가진 사람은 누구냐?
194,46,"2,2",2,PASS,나만 믿어
195,45,"2,4",4,PASS,부디 서둘러라
196,19,"1,3",3,PASS,잘했다
197,45,"1,8",8,PASS,모두를 구했구나
198,45,"1,11",11,PASS,그런데 말이다
199,11,"1,8,12",12,PASS,오코토와 너라면 훌륭한 가족이 되겠군
200,45,"1,8",8,PASS,"그렇지, 오코토?"
201,45,"3,4",4,PASS,"오코토, 아 맞다"
202,42,"1,11,1",11,PASS,제발 부탁합니다
203,15,"1,2,3,12",12,PASS,좋아! 최고의 행복을 느끼는 순간이군
204,29,"1,6,5",6,PASS,축하주를 주문해야겠어
205,26,"1,8,13",13,PASS,나는 떠돌이야. 마을에서 마을로 떠돌지
206,6,"1,9,13",13,PASS,오코토에게는 훨씬 더 좋은 사람이 어울려
207,13,"1,12,5",12,PASS,그렇게 느꼈다면 미안해. 하지만
208,34,"1,14",14,PASS,언제든 우리를 만나러 와
209,34,"1,10,3",10,PASS,마을에 오면 언제든 들러
210,40,"1,6,5",6,PASS,알겠어. 이제 가야 해
211,19,"1,4",4,PASS,잘 가
212,6,"3,3",3,PASS,오코토
213,48,"3,8",8,PASS,"오코토, 흐흑"
214,26,"16,3",16,PASS,"둠디둠, 이 이야기가 재미있지 않나?"
215,37,"8,8",8,PASS,끝냈구나. 이제 할 일이 없나?
216,17,"12,8",12,PASS,다시 만날지도 모르지. 그때 혼내 주마
217,17,1,1,PASS,끝
218,37,13,13,PASS,모험은 지금 시작된다
219,47,6,6,PASS,어서 오세요
220,15,"9,11",11,PASS,"다운타운 스페셜! 싸움꾼들이여, 환영한다"
221,24,11,11,PASS,에서 우리를 만나라
222,21,"12,8",12,PASS,"수수께끼의 땅 스루가, 후지산의 고향"
223,42,10,10,PASS,거친 바다를 건너
224,37,"8,5",8,PASS,의무와 사랑이 기다린다
225,35,14,14,PASS,쿠니오의 사랑이 기다린다
226,46,8,8,PASS,정말 그녀일까?
227,46,8,8,PASS,사용했습니다
228,18,"8,10",10,PASS,새 지역으로 갈 준비가 됐나요? 그래
229,47,7,7,PASS,주었습니다
230,43,9,9,PASS,떨어뜨렸습니다
231,38,11,11,PASS,상태가 올랐습니다
232,18,13,13,PASS,능력치가 올랐습니다
233,18,13,13,PASS,능력치가 올랐습니다
234,38,12,12,PASS,능력치가 최대입니다
235,40,10,10,PASS,기술을 배웠습니다
236,18,22,22,WARN,상태 레벨이 올랐습니다. 이제 두 배입니다
237,35,12,12,PASS,지도 커서로 이동하세요
238,40,8,8,PASS,해제했습니다
239,43,9,9,PASS,미소 지었습니다
240,38,11,11,PASS,몸이 가벼워졌습니다
241,43,8,8,PASS,멋진 순간입니다
242,18,18,18,PASS,장비와 능력치가 이제 두 배입니다
243,46,7,7,PASS,넘어졌습니다
245,11,3,3,PASS,가족
