record_id	record_kind	source_language	context	pointer_index	pointer_rom_offset	jp_pointer_cpu	en_pointer_cpu	jp_rom_offset	en_rom_offset	jp_window_end	en_window_end	jp_first_ff_end	en_first_ff_end	jp_raw_bytes	en_raw_bytes	jp_text	en_text	target_scope	target_references	structural_confidence	notes
JP-NAME-010	ff_delimited	japanese	Bank 1 name-table area					0x05652		0x05657		0x05657		0A AE 8B 88 FF		<0A><AE><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-011	ff_delimited	japanese	Bank 1 name-table area					0x05657		0x0565C		0x0565C		07 AE 5A 91 FF		<07><AE><5A><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-012	ff_delimited	japanese	Bank 1 name-table area					0x0565C		0x05661		0x05661		82 91 1D 82 FF		<82><91><1D><82><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-013	ff_delimited	japanese	Bank 1 name-table area					0x05661		0x05666		0x05666		AB 88 1D 82 FF		<AB><88><1D><82><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-014	ff_delimited	japanese	Bank 1 name-table area					0x05666		0x0566B		0x0566B		92 A9 9F 92 FF		<92><A9><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-015	ff_delimited	japanese	Bank 1 name-table area					0x0566B		0x05675		0x05675		81 8B 0C AB 83 A6 99 8D 89 FF		<81><8B><0C><AB><83><A6><99><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-016	ff_delimited	japanese	Bank 1 name-table area					0x05675		0x0567A		0x0567A		94 A7 0F 83 FF		<94><A7><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-017	ff_delimited	japanese	Bank 1 name-table area					0x0567A		0x0568D		0x0568D		9A AE 8C AB 83 96 0B 84 A3 AE 9D 82 A9 9F AE 95 AE 1A FF		<9A><AE><8C><AB><83><96><0B><84><A3><AE><9D><82><A9><9F><AE><95><AE><1A><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-018	ff_delimited	japanese	Bank 1 name-table area					0x0568D		0x05692		0x05692		85 1B 95 90 FF		<85><1B><95><90><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-019	ff_delimited	japanese	Bank 1 name-table area					0x05692		0x05697		0x05697		9F 92 A3 94 FF		<9F><92><A3><94><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-020	ff_delimited	japanese	Bank 1 name-table area					0x05697		0x0569B		0x0569B		85 8A 94 FF		<85><8A><94><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-021	ff_delimited	japanese	Bank 1 name-table area					0x0569B		0x0569C		0x0569C		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-022	ff_delimited	japanese	Bank 1 name-table area					0x0569C		0x056A0		0x056A0		85 A0 92 FF		<85><A0><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-023	ff_delimited	japanese	Bank 1 name-table area					0x056A0		0x056A1		0x056A1		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-024	ff_delimited	japanese	Bank 1 name-table area					0x056A1		0x056A5		0x056A5		85 A3 AE FF		<85><A3><AE><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-025	ff_delimited	japanese	Bank 1 name-table area					0x056A5		0x056A6		0x056A6		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-026	ff_delimited	japanese	Bank 1 name-table area					0x056A6		0x056B0		0x056B0		A7 85 91 B2 AE 8B AE 87 91 FF		<A7><85><91><B2><AE><8B><AE><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-NAME-027	ff_delimited	japanese	Bank 1 name-table area					0x056B0		0x056BC				05 7B 19 7B 0F 7B 14 7B 0A 7B AC 96		<05><7B><19><7B><0F><7B><14><7B><0A><7B><AC><96>		pre-pointer block		medium	unterminated tail record; not paired
EN-NAME-000	ff_delimited	english	Bank 1 name-table area						0x0561B		0x05625		0x05625		8B 95 8E 89 8F 92 89 8B 89 FF		KUNIORIKI<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-001	ff_delimited	english	Bank 1 name-table area						0x05625		0x05634		0x05634		82 95 8E 9A 8F 8A 95 95 8B 89 94 93 95 89 FF		BUNZOJUUKITSUI<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-002	ff_delimited	english	Bank 1 name-table area						0x05634		0x0563E		0x0563E		94 81 94 93 95 99 81 87 8F FF		TATSUYAGO<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-003	ff_delimited	english	Bank 1 name-table area						0x0563E		0x05652		0x05652		8A 89 8E 92 8F 88 85 89 93 89 8B 89 8E 93 95 94 81 8D 85 FF		JINROHEISIKINSUTAME<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-004	ff_delimited	english	Bank 1 name-table area						0x05652		0x05661		0x05661		87 8F 8E 93 81 87 89 8E 90 81 89 83 88 89 FF		GONSAGINPAICHI<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-005	ff_delimited	english	Bank 1 name-table area						0x05661		0x05666		0x05666		92 8F 8B 95 FF		ROKU<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-006	ff_delimited	english	Bank 1 name-table area						0x05666		0x0566B		0x0566B		94 93 95 95 FF		TSUU<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-007	ff_delimited	english	Bank 1 name-table area						0x0566B		0x05675		0x05675		81 93 81 8A 89 99 8F 8E 8F FF		ASAJIYONO<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-008	ff_delimited	english	Bank 1 name-table area						0x05675		0x0567A		0x0567A		94 8F 92 81 FF		TORA<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-009	ff_delimited	english	Bank 1 name-table area						0x0567A		0x0567E		0x0567E		88 81 8E FF		HAN<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-010	ff_delimited	english	Bank 1 name-table area						0x0567E		0x0567F		0x0567F		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-011	ff_delimited	english	Bank 1 name-table area						0x0567F		0x0568D		0x0568D		8E 89 9A 81 85 88 85 89 92 95 71 71 71 FF		NIZAEHEIRU<71><71><71><FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-012	ff_delimited	english	Bank 1 name-table area						0x0568D		0x0569D		0x0569D		8F 82 89 8E 81 8D 81 94 93 95 8F 8B 8F 94 8F FF		OBINAMATSUOKOTO<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-013	ff_delimited	english	Bank 1 name-table area						0x0569D		0x0569E		0x0569E		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-014	ff_delimited	english	Bank 1 name-table area						0x0569E		0x0569F		0x0569F		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-015	ff_delimited	english	Bank 1 name-table area						0x0569F		0x056A0		0x056A0		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-016	ff_delimited	english	Bank 1 name-table area						0x056A0		0x056A1		0x056A1		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-017	ff_delimited	english	Bank 1 name-table area						0x056A1		0x056A6		0x056A6		8F 8D 8F 8E FF		OMON<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-018	ff_delimited	english	Bank 1 name-table area						0x056A6		0x056AA		0x056AA		92 81 8F FF		RAO<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-019	ff_delimited	english	Bank 1 name-table area						0x056AA		0x056AB		0x056AB		FF		<FF>	pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
EN-NAME-020	ff_delimited	english	Bank 1 name-table area						0x056AB		0x056BC				93 81 8E 8B 89 05 7B 19 7B 0F 7B 14 7B 0A 7B AC 96		SANKI<05><7B><19><7B><0F><7B><14><7B><0A><7B><AC>V	pre-pointer block		medium	unterminated tail record; not paired
JP-PRE-000	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056BC		0x056C6		0x056C6		A5 87 0C AB 83 82 94 87 91 FF		<A5><87><0C><AB><83><82><94><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-001	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056C6		0x056CB		0x056CB		9F 8B 87 91 FF		<9F><8B><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-002	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056CB		0x056D0		0x056D0		90 A3 8D 89 FF		<90><A3><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-003	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056D0		0x056D5		0x056D5		8B 82 0F 83 FF		<8B><82><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-004	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056D5		0x056DF		0x056DF		9A 07 99 8D 89 9A 8C 0F 83 FF		<9A><07><99><8D><89><9A><8C><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-005	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056DF		0x056E3		0x056E3		8A 8D 89 FF		<8A><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-006	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056E3		0x056E4		0x056E4		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-007	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056E4		0x056E9		0x056E9		9A AE 8D 89 FF		<9A><AE><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-008	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056E9		0x056F3		0x056F3		8A 83 84 A3 AE 9B A7 8B 88 FF		<8A><83><84><A3><AE><9B><A7><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-009	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056F3		0x056F8		0x056F8		9B 13 87 91 FF		<9B><13><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-010	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056F8		0x056FD		0x056FD		81 8C 1D 84 FF		<81><8C><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-011	ff_delimited	japanese	Bank 1 pre-pointer text area					0x056FD		0x05702		0x05702		1D AE 8C 91 FF		<1D><AE><8C><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-012	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05702		0x0570C		0x0570C		8B 82 90 AB 83 A3 84 A3 AE FF		<8B><82><90><AB><83><A3><84><A3><AE><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-013	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0570C		0x05716		0x05716		A1 A7 0A AB 83 8B 10 87 91 FF		<A1><A7><0A><AB><83><8B><10><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-014	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05716		0x05725		0x05725		8E 87 0A AB 83 A6 92 84 A3 AE 94 A3 9F 92 FF		<8E><87><0A><AB><83><A6><92><84><A3><AE><94><A3><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-015	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05725		0x0572A		0x0572A		88 9F 9A 91 FF		<88><9F><9A><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-016	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0572A		0x05739		0x05739		AC 90 0A AB 83 83 A7 84 A3 AE 94 A2 8B 88 FF		<AC><90><0A><AB><83><83><A7><84><A3><AE><94><A2><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-017	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05739		0x0573E		0x0573E		85 99 87 91 FF		<85><99><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-018	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0573E		0x05743		0x05743		A4 90 87 91 FF		<A4><90><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-019	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05743		0x05748		0x05748		82 8F AB 88 FF		<82><8F><AB><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-020	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05748		0x0574C		0x0574C		A8 9D 82 FF		<A8><9D><82><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-021	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0574C		0x0574D		0x0574D		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-022	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0574D		0x05752		0x05752		91 84 0F 83 FF		<91><84><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-023	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05752		0x05757		0x05757		8D A0 8B 88 FF		<8D><A0><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-024	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05757		0x05761		0x05761		8C AE 99 8D 89 A1 98 9F 92 FF		<8C><AE><99><8D><89><A1><98><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-025	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05761		0x05766		0x05766		09 AE 8D 89 FF		<09><AE><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-026	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05766		0x0576B		0x0576B		85 82 8B 88 FF		<85><82><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-027	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0576B		0x05770		0x05770		9D A3 8D 89 FF		<9D><A3><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-028	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05770		0x05775		0x05775		A6 90 AB 83 FF		<A6><90><AB><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-029	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05775		0x0577F		0x0577F		86 A2 0A AB 83 90 87 0F 83 FF		<86><A2><0A><AB><83><90><87><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-030	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0577F		0x05784		0x05784		9B 8B 9F 92 FF		<9B><8B><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-031	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05784		0x05788		0x05788		8B 9D 82 FF		<8B><9D><82><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-032	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05788		0x05789		0x05789		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-033	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05789		0x0578D		0x0578D		87 8D 89 FF		<87><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-034	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0578D		0x0578E		0x0578E		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-035	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0578E		0x05793		0x05793		99 A8 9F 92 FF		<99><A8><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-036	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05793		0x05798		0x05798		8A 83 87 91 FF		<8A><83><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-037	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05798		0x0579D		0x0579D		8D 84 9F 92 FF		<8D><84><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-038	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0579D		0x057A7		0x057A7		90 89 0C AB 83 83 A2 9F 92 FF		<90><89><0C><AB><83><83><A2><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-039	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057A7		0x057AC		0x057AC		1E 1C 9F 92 FF		<1E><1C><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-040	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057AC		0x057BB		0x057BB		A5 83 84 A3 AE A6 8C 0A AB 83 99 A8 9D 82 FF		<A5><83><84><A3><AE><A6><8C><0A><AB><83><99><A8><9D><82><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-041	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057BB		0x057C5		0x057C5		9A 91 0A AB 83 9B 13 0F 83 FF		<9A><91><0A><AB><83><9B><13><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-042	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057C5		0x057CA		0x057CA		88 A0 0F 83 FF		<88><A0><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-043	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057CA		0x057CF		0x057CF		90 AB 1D 84 FF		<90><AB><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-044	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057CF		0x057D4		0x057D4		83 A7 8B 88 FF		<83><A7><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-045	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057D4		0x057D9		0x057D9		A6 98 8D 89 FF		<A6><98><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-046	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057D9		0x057DE		0x057DE		A6 8C 9F 92 FF		<A6><8C><9F><92><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-047	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057DE		0x057E3		0x057E3		93 A9 0F 83 FF		<93><A9><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-048	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057E3		0x057E8		0x057E8		8D A4 87 91 FF		<8D><A4><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-049	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057E8		0x057F7		0x057F7		A3 A8 99 8D 89 82 8C 0A AB 83 8B 88 1D 84 FF		<A3><A8><99><8D><89><82><8C><0A><AB><83><8B><88><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-050	ff_delimited	japanese	Bank 1 pre-pointer text area					0x057F7		0x05801		0x05801		83 A7 0C AB 83 8C 1A 8B 88 FF		<83><A7><0C><AB><83><8C><1A><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-051	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05801		0x05806		0x05806		8A 8D 87 91 FF		<8A><8D><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-052	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05806		0x0580B		0x0580B		8C AB 8D 89 FF		<8C><AB><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-053	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0580B		0x0581A		0x0581A		0C B6 AE 0F 83 82 98 90 AB 83 81 87 0F 83 FF		<0C><B6><AE><0F><83><82><98><90><AB><83><81><87><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-054	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0581A		0x0581F		0x0581F		A5 A8 0F 83 FF		<A5><A8><0F><83><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-055	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0581F		0x0583D		0x0583D		8D 93 0C AB 83 8C B6 83 1D 84 84 1B 99 8D 89 87 91 0C AB 83 81 92 0A AB 83 86 95 87 91 FF		<8D><93><0C><AB><83><8C><B6><83><1D><84><84><1B><99><8D><89><87><91><0C><AB><83><81><92><0A><AB><83><86><95><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-056	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0583D		0x05842		0x05842		8D 89 8B 88 FF		<8D><89><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-057	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05842		0x05846		0x05846		0A 8D 89 FF		<0A><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-058	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05846		0x05847		0x05847		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-059	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05847		0x0584C		0x0584C		92 99 8D 89 FF		<92><99><8D><89><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-060	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0584C		0x05856		0x05856		87 88 99 8D 89 94 8C 1D 84 FF		<87><88><99><8D><89><94><8C><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-061	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05856		0x0585B		0x0585B		9F 92 87 91 FF		<9F><92><87><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-062	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0585B		0x05860		0x05860		85 1B 8B 88 FF		<85><1B><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-063	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05860		0x05865		0x05865		A4 8D 1D 84 FF		<A4><8D><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-064	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05865		0x0586F		0x0586F		89 AE 0A AB 83 9F AE 8C 91 FF		<89><AE><0A><AB><83><9F><AE><8C><91><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-065	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0586F		0x05874		0x05874		86 92 1D 84 FF		<86><92><1D><84><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-066	ff_delimited	japanese	Bank 1 pre-pointer text area					0x05874		0x0587D		0x0587D		8F 99 90 AB 83 0A 8B 88 FF		<8F><99><90><AB><83><0A><8B><88><FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
JP-PRE-067	ff_delimited	japanese	Bank 1 pre-pointer text area					0x0587D		0x0587E		0x0587E		FF		<FF>		pre-pointer block		medium	0xFF-delimited record; not paired because translated lengths differ
