translation_index,source,romaji,korean,category,section,candidate_count,candidate_offsets,best_score,candidate_pools,match_mode,status,runtime_status
18,おかね,Okane,돈,UI,3. 스테이터스 / UI 텍스트,10,0x06DE3;0x095B9;0x0966F;0x09830;0x0EE3D;0x0F3D1;0x10D75;0x10FD5;0x1C98A;0x1CA00,45,top_known_hits;top_new_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
19,もちもの,Mochimono,소지품,UI,3. 스테이터스 / UI 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
20,そうび,Soubi,장비,UI,3. 스테이터스 / UI 텍스트,3,0x0602E;0x06BDF;0x06FA1,22,top_known_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
21,たべる,Taberu,먹다,UI,3. 스테이터스 / UI 텍스트,3,0x11332;0x11340;0x1FA3C,36,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
22,すてる,Suteru,버리다,UI,3. 스테이터스 / UI 텍스트,1,0x0CEAD,33,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
23,こんぼう,Konbou,몽둥이,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
24,どうのこんぼう,Dou no konbou,구리 몽둥이,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
25,てつのこんぼう,Tetsu no konbou,쇠 몽둥이,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
26,はがねのこんぼう,Hagane no konbou,강철 몽둥이,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
27,カタナ,Katana,카타나,무기,4. 아이템 / 무기 이름,7,0x05644;0x06295;0x0631C;0x0635A;0x07227;0x10BD4;0x10BE8,30,top_known_hits;top_new_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
28,どうのカタナ,Dou no katana,구리 검,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
29,てつのカタナ,Tetsu no katana,쇠 검,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
30,はがねのカタナ,Hagane no katana,강철 검,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
31,やり,Yari,창,무기,4. 아이템 / 무기 이름,0,,,,none,skipped_by_scanner,not_runtime_proven
32,どうのやり,Dou no yari,구리 창,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
33,てつのやり,Tetsu no yari,쇠 창,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
34,はがねのやり,Hagane no yari,강철 창,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
35,チェーン,Cheen,체인,무기,4. 아이템 / 무기 이름,1,0x07587,39,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
36,ヌンチャク,Nunchaku,쌍절곤,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
37,トンファー,Tonfaa,톤파,무기,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
38,どうのよろい,Dou no yoroi,구리 갑옷,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
39,てつのよろい,Tetsu no yoroi,쇠 갑옷,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
40,はがねのよろい,Hagane no yoroi,강철 갑옷,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
41,どうのたいぼう,Dou no taibou,구리 방패,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
42,てつのたいぼう,Tetsu no taibou,쇠 방패,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
43,はがねのたいぼう,Hagane no taibou,강철 방패,방어구,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
44,くすり,Kusuri,약,회복,4. 아이템 / 무기 이름,12,0x05BDF;0x080AC;0x0CDB5;0x0CF70;0x0CF73;0x0CF76;0x0CF79;0x0FA5A;0x0FA83;0x13B09;0x1BB7E;0x1CB75,60,top_known_hits;top_new_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
45,いいくすり,Ii kusuri,좋은 약,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
46,すごいくすり,Sugoi kusuri,굉장한 약,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
47,きのくすり,Ki no kusuri,기의 약,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
48,どくけしくすり,Dokukeshi kusuri,해독약,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
49,やきいも,Yakiimo,군고구마,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
50,おにぎり,Onigiri,주먹밥,회복,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
51,すけすけのたび,Sukesuke no tabi,투시의 옷,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
52,たつじんめがね,Tatsujin megane,달인의 안경,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
53,こうかが2ばい,Kouka ga 2bai,효과 2배,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
54,UPが2ばい,UP ga 2bai,UP 2배,특수,4. 아이템 / 무기 이름,1,0x0C044,30,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
55,みかわしのたび,Mikawashi no tabi,회피의 옷,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
56,ふういんのふだ,Fuuin no fuda,봉인의 부적,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
57,きんのたま,Kin no tama,황금 구슬,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
58,ぎんのたま,Gin no tama,은 구슬,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
59,あかいたま,Akai tama,빨간 구슬,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
60,あおいたま,Aoi tama,파란 구슬,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
61,でんせつのどうぐ,Densetsu no dougu,전설의 도구,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
62,なぞのみせ,Nazo no mise,수수께끼 가게,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
63,ふくびき,Fukubiki,제비뽑기,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
64,たからのちず,Takara no chizu,보물 지도,특수,4. 아이템 / 무기 이름,0,,,,none,no_static_candidate,not_runtime_proven
65,まっはぱんち,Mahhapanchi,마하 펀치,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
66,まっはきっく,Mahhakikku,마하 킥,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
67,まっはたたき,Mahhatataki,마하 때리기,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
68,まっはすいんぐ,Mahhasuingu,마하 스윙,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
69,まっはふみふみ,Mahhafumifumi,마하 밟기,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
70,すくりゅう,Sukuryuu,스크류,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
71,にとろあたっく,Nitoroatakku,니트로 어택,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
72,はいぱーがーど,Haipagado,하이퍼 가드,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
73,せんぷうきゃく,Senpuukyaku,선풍각,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
74,わーぷしゅーと,Wapushuto,워프 슛,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
75,にんげんどりる,Ningendoriru,인간 드릴,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
76,にんげんへり,Ningenheri,인간 헬기,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
77,にんげんぎょらい,Ningengyorai,인간 어뢰,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
78,じぶんぎょらい,Jibungyorai,자폭 어뢰,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
79,まっはぱんちII,MahhapanchiII,마하 펀치 2,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
80,まっはきっくII,MahhakikkuII,마하 킥 2,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
81,すくりゅうII,SukuryuuII,스크류 2,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
82,はりてすぺしゃる,Haritesupesharu,빰 때리기 S,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
83,どすすぺしゃる,Dosusupesharu,강타 S,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
84,ずつきすぺしゃる,Zutsukisupesharu,박치기 S,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
85,あんますぺしゃる,Anmasupesharu,안마 S,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
86,びっぐばんぐ,Biggubangu,빅뱅,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
87,へんしんわざ,Henshinwaza,변신술,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
88,やまたのじゅつ,Yamatanojutsu,야마타의 술,기술,translation_data fallback,0,,,,none,no_static_candidate,not_runtime_proven
89,ぎんぱち,Ginpachi,긴파치,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
90,いちべえ,Ichibee,이치베에,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
91,ろくべえ,Rokubee,로쿠베에,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
92,きんすけ,Kinsuke,킨스케,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
93,ためきち,Tamekichi,타메키치,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
94,ごんさく,Gonsaku,곤사쿠,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
95,へいしち,Heishichi,헤이시치,보스,6. 적 캐릭터 / 보스 이름,4,0x05643;0x06294;0x0631B;0x06359,55,top_known_hits;top_new_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
96,じんろく,Jinroku,진로쿠,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
97,はんしろう,Hanshirou,한시로,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
98,やごろう,Yagorou,야고로,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
99,にざえもん,Nizaemon,니자에몬,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
100,たついち,Tatsuichi,타츠이치,보스,6. 적 캐릭터 / 보스 이름,1,0x0562F,32,top_known_hits,exact_source,static_candidate_known_bank1,not_runtime_proven
101,たつじ,Tatsuji,타츠지,보스,6. 적 캐릭터 / 보스 이름,11,0x048F4;0x052A5;0x05BE5;0x0E9FA;0x10561;0x131D8;0x131F0;0x16F72;0x1A6AC;0x1ADBD;0x1CB80,69,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
102,とらぞうおやぶん,Torazou oyabun,토라조 두목,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
103,くろまく,Kuro maku,흑막,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
104,じゅうきち,Juukichi,쥬키치,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
105,あさじろう,Asajirou,아사지로,보스,6. 적 캐릭터 / 보스 이름,0,,,,none,no_static_candidate,not_runtime_proven
106,はじまりのまち,Hajimari no machi,시작 마을,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
107,やまみち,Yamamichi,산길,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
108,はやし,Hayashi,숲,스테이지,7. 스테이지 / 지역 이름,1,0x0637B,45,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
109,かわら,Kawara,강가,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
110,どうくつ,Doukutsu,동굴,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
111,やまのうえ,Yama no ue,산 위,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
112,はし,Hashi,다리,스테이지,7. 스테이지 / 지역 이름,0,,,,none,skipped_by_scanner,not_runtime_proven
113,じごく,Jigoku,지옥,스테이지,7. 스테이지 / 지역 이름,31,0x01627;0x01785;0x01B1F;0x024E5;0x02575;0x0257F;0x025CA;0x026F1;0x0D339;0x0D588;0x0D75E;0x0D771;0x0EC1A;0x0EC3E;0x0F0E2;0x0F117;0x0F273;0x0F29B;0x10D50;0x10E68;0x11039;0x1317F;0x1318D;0x1319D;0x16BA9;0x18926;0x18A4C;0x1A63B;0x1B921;0x1B935;0x1B949,63,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
114,ろうてい,Routei,누정,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
115,おしろ,Oshiro,성,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
116,はたけ,Hatake,밭,스테이지,7. 스테이지 / 지역 이름,2,0x12F21;0x19BA9,66,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
117,とざん,Tozan,등산,스테이지,7. 스테이지 / 지역 이름,2,0x060BD;0x08C03,36,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
118,かじや,Kajiya,대장간,스테이지,7. 스테이지 / 지역 이름,3,0x001DA;0x00510;0x0440C,39,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
119,はかば,Hakaba,묘지,스테이지,7. 스테이지 / 지역 이름,15,0x0560E;0x05F67;0x08744;0x088F8;0x0C75E;0x0C77D;0x0D080;0x1019C;0x119E9;0x123D2;0x13C4F;0x151BA;0x151BC;0x17893;0x1D818,57,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
120,みずうみ,Mizuumi,호수,스테이지,7. 스테이지 / 지역 이름,0,,,,none,no_static_candidate,not_runtime_proven
121,やったー！,Yattaa!,이겼다!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
122,まけた…,Maketa...,졌다…,대사,8. 이벤트 / 스토리 대사,4,0x00806;0x04242;0x0A255;0x1E21A,66,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
123,たすけてくれ！,Tasukete kure!,도와줘!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
124,まってくれ！,Matte kure!,기다려!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
125,これをもっていけ,Kore wo motte ike,이걸 가져가라,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
126,なかまになった！,Nakama ni natta!,동료가 되었다!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
127,レベルがあがった！,Reberu ga agatta!,레벨이 올랐다!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
128,わざをおぼえた！,Waza wo oboeta!,기술을 익혔다!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
129,みにつけた！,Mi ni tsuketa!,몸에 익혔다!,대사,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
130,おわり,Owari,끝,엔딩,9. 엔딩 / 크레딧,3,0x02999;0x10921;0x1F0B1,36,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
131,おしまい,Oshimai,끝,엔딩,9. 엔딩 / 크레딧,0,,,,none,no_static_candidate,not_runtime_proven
132,エンディング,Endingu,엔딩,엔딩,9. 엔딩 / 크레딧,0,,,,none,no_static_candidate,not_runtime_proven
133,スタッフ,Sutaffu,스태프,엔딩,9. 엔딩 / 크레딧,0,,,,none,no_static_candidate,not_runtime_proven
134,おめでとう！,Omedetou!,축하합니다!,엔딩,9. 엔딩 / 크레딧,0,,,,none,no_static_candidate,not_runtime_proven
135,こがねむし,Koganemushi,코가네무시,특수,10. 숨겨진 요소 /裏技 관련 텍스트,0,,,,none,no_static_candidate,not_runtime_proven
136,裏技,Urawaza,숨겨진 기술,특수,10. 숨겨진 요소 /裏技 관련 텍스트,0,,,,none,skipped_by_scanner,not_runtime_proven
137,必殺技MAX,Hissatsuwaza MAX,필살기 MAX,특수,10. 숨겨진 요소 /裏技 관련 텍스트,0,,,,none,skipped_by_scanner,not_runtime_proven
138,相棒つるまつの裏切り,Aibou Tsurumatsu no uragiri,파트너 츠루마츠의 배신,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
139,やごろうと再会,Yagorou to saikai,야고로와 재회,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
140,変身の術で、やごろうに変身,"Henshin no jutsu de, Yagorou ni henshin",변신술로 야고로 변신,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
141,よのすけから薬をもらい,Yonosuke kara kusuri wo morai,요노스케에게 약을 받음,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
142,倒して許すと仲間に,Taoshite yurusu to nakama ni,쓰러뜨리고 용서하면 동료로,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
143,賭場でお金稼ぎ,TOBA de okane kasegi,도박장에서 돈벌이,이벤트,8. 이벤트 / 스토리 대사,3,0x0589C;0x06499;0x07450,42,top_new_hits,exact_source,static_candidate_unverified,not_runtime_proven
144,真エンディング,Shin Endingu,진 엔딩,이벤트,8. 이벤트 / 스토리 대사,0,,,,none,no_static_candidate,not_runtime_proven
