id	pointer_index	pointer_rom_offset	prg_bank	jp_pointer_cpu	en_pointer_cpu	jp_rom_offset	en_rom_offset	jp_length	en_length	jp_bytes	en_bytes	english_reference	target_scope	english_pointer_changed	conservative_catalog_status	korean_work_status	screen_context	route_requirement	notes
PTR-015	15	0x05DF2	1	0xA148	0xA162	0x06158	0x06172	16	32	82 91 1D 84 BB 95 AE 13 84 00 85 A2 84 A7 CA FF	89 83 88 89 BB 00 97 88 8F 00 81 92 85 00 99 8F 95 00 87 95 99 93 B9 F8 81 8E 99 97 81 99 CC FF	ICHI<BB><00>WHO<00>ARE<00>YOU<00>GUYS<B9><F8>ANYWAY<CC><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-016	16	0x05DF4	1	0xA158	0xA182	0x06168	0x06192	19	15	AB 88 1D 84 BB 86 9F AC 98 84 00 A4 B4 91 A2 B2 B4 CA FF	92 8F 8B 95 BB 00 87 85 94 00 B6 85 8D CB FF	ROKU<BB><00>GET<00><B6>EM<CB><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-017	17	0x05DF6	1	0xA16B	0xA191	0x0617B	0x061A1	13	21	AB 88 1D 84 BB 9F 82 A8 A4 8C 90 CA FF	92 8F 8B 95 BB 00 81 81 92 87 88 CB 00 89 00 8C 8F 93 94 CA FF	ROKU<BB><00>AARGH<CB><00>I<00>LOST<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-018	18	0x05DF8	1	0xA178	0xA1A6	0x06188	0x061B6	37	43	F0 BB 81 B4 8C A7 9A 00 81 88 94 83 10 06 F8 F9 00 85 AE 95 9A 00 8B A7 AC 98 B2 95 AF CB AB 88 1D 84 99 CA FF	F0 BB 00 97 85 00 8D 81 99 00 82 85 00 82 81 84 B9 00 82 95 94 00 97 85 F8 84 8F 8E B6 94 00 88 95 92 94 00 97 8F 8D 85 8E CA FF	<F0><BB><00>WE<00>MAY<00>BE<00>BAD<B9><00>BUT<00>WE<F8>DON<B6>T<00>HURT<00>WOMEN<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-019	19	0x05DFA	1	0xA19D	0xA1D1	0x061AD	0x061E1	15	22	F0 BB 95 AE 13 B2 00 86 B4 91 9F B4 90 CA FF	F0 BB 00 97 88 81 94 CB CB 89 00 82 85 81 94 00 94 88 85 8D CA FF	<F0><BB><00>WHAT<CB><CB>I<00>BEAT<00>THEM<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-020	20	0x05DFC	1	0xA1AC	0xA1E7	0x061BC	0x061F7	43	47	F0 BB 1B 71 B4 08 1E 8D 00 0C AE AB 88 96 90 99 9F AA 93 F8 F9 00 81 95 90 06 90 AD 00 90 85 8C 9F 71 8D 98 00 85 71 89 71 CC FF	F0 BB 00 82 85 85 87 00 82 8F 93 93 00 8A 89 8E 92 8F 00 93 85 8E 94 F8 8D 85 00 94 8F 00 8B 89 83 8B 00 99 8F 95 92 00 82 95 94 94 93 CA FF	<F0><BB><00>BEEG<00>BOSS<00>JINRO<00>SENT<F8>ME<00>TO<00>KICK<00>YOUR<00>BUTTS<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-021	21	0x05DFE	1	0xA1D7	0xA216	0x061E7	0x06226	45	51	F0 BB 8D 93 87 95 00 91 B6 83 0A 88 0C AE 00 8C B7 83 86 82 8C 9F 71 8D F8 F9 00 A8 88 91 B6 83 99 00 85 AE 8E AE 96 00 82 9F 71 8D FF	F0 BB 00 89 B6 8D 00 87 8F 8E 8E 81 00 8B 89 83 8B 00 99 8F 95 92 F8 81 93 93 85 93 00 81 8C 8C 00 94 88 85 00 97 81 99 00 94 8F 00 83 88 89 8E 81 CA FF	<F0><BB><00>I<B6>M<00>GONNA<00>KICK<00>YOUR<F8>ASSES<00>ALL<00>THE<00>WAY<00>TO<00>CHINA<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-022	22	0x05E00	1	0xA204	0xA137	0x06214	0x06147	13	7	F0 BB 8A AA 13 00 85 71 89 71 98 CD FF	F0 BB 00 8F 8B CA FF	<F0><BB><00>OK<CA><FF>	bank1_after_pointer_table	true	missing	structural_unknown_missing_conservative_row	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the complete English-guided pointer map but absent from the conservative catalog; investigate before translation.
PTR-023	23	0x05E02	1	0xA211	0xA249	0x06221	0x06259	23	26	F0 BB 1B 71 B4 08 1E 8D 00 0C AE AB 88 96 00 8C 86 A7 AA 9F 71 8D FF	F0 BB 00 8A 89 8E 92 8F 00 97 89 8C 8C 00 93 85 85 00 99 81 00 8E 8F 97 CA FF	<F0><BB><00>JINRO<00>WILL<00>SEE<00>YA<00>NOW<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-024	24	0x05E04	1	0xA228	0xA263	0x06238	0x06273	21	25	F0 BB 81 95 90 06 81 90 A7 8C 82 00 1B 71 B4 08 1E 8D 98 CD FF	F0 BB 00 93 8F B9 00 99 8F 95 B6 92 85 00 82 85 85 87 00 82 8F 93 93 CB FF	<F0><BB><00>SO<B9><00>YOU<B6>RE<00>BEEG<00>BOSS<CB><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-025	25	0x05E06	1	0xA23D	0xA27C	0x0624D	0x0628C	45	42	F0 BB 81 88 94 83 95 AE 0B 00 8C B7 8E AE 90 82 8C 90 8A 90 AF 95 82 A4 95 F8 F9 00 81 B4 8C 9B 94 A8 13 00 0C B6 83 1C AE 13 B2 CA FF	F0 BB 00 89 B6 8C 8C 00 93 88 8F 97 00 94 88 85 93 85 00 8C 8F 93 85 92 93 F8 81 00 94 88 89 8E 87 00 8F 92 00 94 97 8F CA FF	<F0><BB><00>I<B6>LL<00>SHOW<00>THESE<00>LOSERS<F8>A<00>THING<00>OR<00>TWO<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-026	26	0x05E08	1	0xA26A	0xA2A6	0x0627A	0x062B6	44	50	F0 BB 85 A2 B2 90 91 06 00 8A AE 95 96 92 84 B2 90 AF 95 CB F8 F9 00 10 06 00 9D 82 8C 91 99 81 96 87 96 B5 00 86 95 83 A2 B2 CA FF	F0 BB 00 8A 85 85 9A B9 00 99 8F 95 B6 92 85 00 94 8F 95 87 88 B9 00 82 95 94 F8 88 85 89 93 89 00 97 89 8C 8C 00 83 92 95 93 88 00 99 8F 95 CA CA FF	<F0><BB><00>JEEZ<B9><00>YOU<B6>RE<00>TOUGH<B9><00>BUT<F8>HEISI<00>WILL<00>CRUSH<00>YOU<CA><CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-027	27	0x05E0A	1	0xA296	0xA2D8	0x062A6	0x062E8	23	16	F0 BB 9A B4 00 9A B4 00 9A B4 00 81 1A A6 B4 CA 00 81 88 94 83 CA FF	F0 BB 00 8E 99 81 88 CA 00 8C 81 94 85 92 CB FF	<F0><BB><00>NYAH<CA><00>LATER<CB><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-028	28	0x05E0C	1	0xA2AD	0xA2E8	0x062BD	0x062F8	20	36	F0 BB 85 A2 B2 90 91 86 82 CA 00 81 88 94 83 93 B2 99 9A FF	F0 BB 00 88 85 99 CA 00 99 8F 95 B6 92 85 00 94 88 8F 93 85 F8 94 97 8F 00 82 81 84 71 81 93 93 85 93 CC FF	<F0><BB><00>HEY<CA><00>YOU<B6>RE<00>THOSE<F8>TWO<00>BAD<71>ASSES<CC><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-029	29	0x05E0E	1	0xA2C1	0xA30C	0x062D1	0x0631C	26	28	F0 BB 82 10 93 AE 99 F0 8B AE 06 F8 F9 00 81 82 93 96 95 B4 93 A4 A9 0E CA FF	F0 BB 00 89 B6 8D 00 8B 89 8E 93 95 CB 00 8C 85 94 B6 93 F8 82 8F 8F 87 89 85 CA FF	<F0><BB><00>I<B6>M<00>KINSU<CB><00>LET<B6>S<F8>BOOGIE<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-030	30	0x05E10	1	0xA2DB	0xA328	0x062EB	0x06338	46	43	F0 BB 90 8C 86 96 92 84 B2 CB 00 81 B4 8C 99 9F 89 B4 8D A6 F8 F9 00 81 88 94 83 96 8C 94 88 95 AF 00 A3 B4 93 B2 98 B2 9A 95 8C 10 CA FF	F0 BB 00 84 81 8D 8E CA 00 94 8F 8F 00 82 81 84 00 99 8F 95 B6 92 85 F8 8F 8E 00 94 88 85 00 97 92 8F 8E 87 00 93 89 84 85 BA FF	<F0><BB><00>DAMN<CA><00>TOO<00>BAD<00>YOU<B6>RE<F8>ON<00>THE<00>WRONG<00>SIDE<BA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-031	31	0x05E12	1	0xA309	0xA353	0x06319	0x06363	25	37	F0 BB 9D 82 8C 91 99 81 96 87 96 00 A6 B3 88 92 90 84 94 82 93 A4 A9 0E FF	F0 BB 00 89 B6 8D 00 87 8F 8E 8E 81 00 94 85 8C 8C 00 8D 99 F8 82 92 8F 94 88 85 92 B9 00 88 85 89 93 89 CA FF	<F0><BB><00>I<B6>M<00>GONNA<00>TELL<00>MY<F8>BROTHER<B9><00>HEISI<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-032	32	0x05E14	1	0xA322	0xA378	0x06332	0x06388	32	24	F0 BB 14 83 13 B2 CC 00 81 B4 8C 99 00 9A A4 8B 96 B5 AF F8 F9 00 92 82 93 8A A7 AA A2 B2 CA FF	F0 BB 00 83 81 94 83 88 00 8D 85 00 89 86 00 99 8F 95 00 83 81 8E CA FF	<F0><BB><00>CATCH<00>ME<00>IF<00>YOU<00>CAN<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-033	33	0x05E16	1	0xA342	0xA390	0x06352	0x063A0	17	19	F0 BB 81 B4 8C 06 00 9D 82 8C 91 13 0A 0B AE 8D FF	F0 BB 00 88 85 99 CA 00 89 B6 8D 00 88 85 89 93 89 CB FF	<F0><BB><00>HEY<CA><00>I<B6>M<00>HEISI<CB><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-034	34	0x05E18	1	0xA353	0xA3A3	0x06363	0x063B3	32	23	F0 BB 92 A6 82 CB 00 85 A2 B2 8B AE 90 91 B5 82 B4 90 82 F8 F9 00 95 96 A3 AE 95 AE 13 B2 CA FF	F0 BB 00 87 81 97 84 B9 00 99 8F 95 B6 92 85 00 94 8F 95 87 88 CA FF	<F0><BB><00>GAWD<B9><00>YOU<B6>RE<00>TOUGH<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-035	35	0x05E1A	1	0xA373	0xA3BA	0x06383	0x063CA	39	33	F0 BB 10 06 00 0C AE AB 88 99 00 85 85 85 A4 1C AE 9A F8 F9 00 85 A2 B2 8B AE 90 91 90 AF 91 B0 94 91 06 83 0E CA FF	F0 BB 00 82 85 85 87 00 82 8F 93 93 00 8A 89 8E 92 8F F8 97 89 8C 8C 00 86 89 98 00 99 8F 95 CA FF	<F0><BB><00>BEEG<00>BOSS<00>JINRO<F8>WILL<00>FIX<00>YOU<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-036	36	0x05E1C	1	0xA39A	0xA3DB	0x063AA	0x063EB	22	15	F0 BB 81 B4 8C 9A 00 96 09 A3 86 88 AA A3 00 8C A4 8E AE 0E CA FF	F0 BB 00 89 00 97 8F 8E B6 94 00 92 95 8E FF	<F0><BB><00>I<00>WON<B6>T<00>RUN<FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-037	37	0x05E1E	1	0xA3B0	0xA3EA	0x063C0	0x063FA	19	17	F0 BB 81 B4 8C 06 00 81 82 93 96 95 A8 A4 8C B7 83 CB FF	F0 BB 00 86 89 87 88 94 00 8D 85 00 8E 8F 97 CA FF	<F0><BB><00>FIGHT<00>ME<00>NOW<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-038	38	0x05E20	1	0xA3C3	0xA3FB	0x063D3	0x0640B	46	47	F0 BB 95 AE 94 CA 00 85 A2 B2 8B AE 90 91 B5 00 FB 00 8B AE 99 CC F8 F9 00 94 A7 0F 83 99 00 82 91 A0 0C B5 00 98 B2 AE 13 8D 86 82 CC FF	F0 BB 00 99 8F 95 00 97 8F 92 8B 00 86 8F 92 00 FB 00 CC F8 89 00 94 88 8F 95 87 88 94 00 99 8F 95 00 93 85 92 96 85 84 00 94 8F 92 81 CA FF	<F0><BB><00>YOU<00>WORK<00>FOR<00><FB><00><CC><F8>I<00>THOUGHT<00>YOU<00>SERVED<00>TORA<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-039	39	0x05E22	1	0xA3F1	0xA42A	0x06401	0x0643A	43	34	F0 BB A3 83 8C AC 89 98 B2 00 8A 8A 9A 9B 94 92 F8 F9 00 8A 99 0C AE AB 88 96 00 9B 94 9A 10 97 06 8B 8C 93 85 88 AE 95 8E B2 FF	F0 BB 00 93 8F 92 92 99 B9 00 90 81 8C CB 88 85 99 B9 F8 87 89 8D 8D 85 00 81 00 82 92 85 81 8B CA FF	<F0><BB><00>SORRY<B9><00>PAL<CB>HEY<B9><F8>GIMME<00>A<00>BREAK<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-040	40	0x05E24	1	0xA41C	0xA44C	0x0642C	0x0645C	22	21	F0 BB 83 91 99 00 FB 01 AD 00 8D 89 B4 94 96 00 14 B3 13 B2 CC FF	F0 BB 00 94 81 8B 85 00 FB 01 00 97 89 94 88 00 99 8F 95 CA FF	<F0><BB><00>TAKE<00><FB><01><00>WITH<00>YOU<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
PTR-041	41	0x05E26	1	0xA432	0xA461	0x06442	0x06471	21	26	F0 BB 86 85 13 A3 81 A7 B4 93 00 13 95 85 8C 93 87 95 8E B2 FF	F0 BB 00 90 88 85 97 CB 00 99 8F 95 00 8E 85 85 84 00 81 F8 82 81 94 88 CA FF	<F0><BB><00>PHEW<CB><00>YOU<00>NEED<00>A<F8>BATH<CA><FF>	bank1_after_pointer_table	true	needs_japanese_dialogue_glyph_map	structural_unknown	unresolved pointer-dialogue context	named route, save state, or cheat state required	Present in the conservative catalog, but Japanese dialogue glyph mapping and screen context are incomplete.
