frame	role	address	value	pc	y	source_byte	mapper_control	mapper_select	ppu_control	r0	r1	r2	r3	r4	r5	r6	r7
670	bottom	7182	AD	95B3	0C	8D	07	7	8C	3C	46	30	31	32	33	02	03
672	top	7187	8E	95AE	0D	8E	07	7	8C	3C	46	30	31	32	33	02	03
672	bottom	7188	AE	95B3	0D	8E	07	7	8C	3C	46	30	31	32	33	02	03
674	top	718D	8F	95AE	0E	8F	07	7	8C	3C	46	30	31	32	33	02	03
674	bottom	718E	AF	95B3	0E	8F	07	7	8C	3C	46	30	31	32	33	02	03
676	top	7193	90	95AE	0F	90	07	7	8C	3C	46	30	31	32	33	02	03
676	bottom	7194	B0	95B3	0F	90	07	7	8C	3C	46	30	31	32	33	02	03
678	top	7199	91	95AE	10	91	07	7	8C	3C	46	30	31	32	33	02	03
678	bottom	719A	B1	95B3	10	91	07	7	8C	3C	46	30	31	32	33	02	03
680	top	719F	92	95AE	11	92	07	7	8C	3C	46	30	31	32	33	02	03
680	bottom	71A0	B2	95B3	11	92	07	7	8C	3C	46	30	31	32	33	02	03
682	top	71A5	B1	95AE	12	CA	07	7	8C	3C	46	30	31	32	33	02	03
682	bottom	71A6	CA	95B3	12	CA	07	7	8C	3C	46	30	31	32	33	02	03
684	top	71AB	93	95AE	14	93	07	7	8C	3C	46	30	31	32	33	02	03
684	bottom	71AC	B3	95B3	14	93	07	7	8C	3C	46	30	31	32	33	02	03
686	top	71B1	94	95AE	15	94	07	7	8C	3C	46	30	31	32	33	02	03
686	bottom	71B2	B4	95B3	15	94	07	7	8C	3C	46	30	31	32	33	02	03
688	top	71B7	95	95AE	16	95	07	7	8C	3C	46	30	31	32	33	02	03
688	bottom	71B8	B5	95B3	16	95	07	7	8C	3C	46	30	31	32	33	02	03
690	top	71BD	96	95AE	17	96	07	7	8C	3C	46	30	31	32	33	02	03
690	bottom	71BE	B6	95B3	17	96	07	7	8C	3C	46	30	31	32	33	02	03
692	top	71C3	97	95AE	18	97	07	7	8C	3C	46	30	31	32	33	02	03
692	bottom	71C4	B7	95B3	18	97	07	7	8C	3C	46	30	31	32	33	02	03
694	top	71C9	98	95AE	19	98	07	7	8C	3C	46	30	31	32	33	02	03
694	bottom	71CA	B8	95B3	19	98	07	7	8C	3C	46	30	31	32	33	02	03
696	top	71CF	99	95AE	1A	99	07	7	8C	3C	46	30	31	32	33	02	03
696	bottom	71D0	B9	95B3	1A	99	07	7	8C	3C	46	30	31	32	33	02	03
698	top	71D5	9A	95AE	1B	9A	07	7	8C	3C	46	30	31	32	33	02	03
698	bottom	71D6	BA	95B3	1B	9A	07	7	8C	3C	46	30	31	32	33	02	03
700	top	71DB	C0	95AE	1C	C0	07	7	8C	3C	46	30	31	32	33	02	03
700	bottom	71DC	E0	95B3	1C	C0	07	7	8C	3C	46	30	31	32	33	02	03
702	top	71E1	C1	95AE	1D	C1	07	7	8C	3C	46	30	31	32	33	02	03
702	bottom	71E2	E1	95B3	1D	C1	07	7	8C	3C	46	30	31	32	33	02	03
704	top	71E7	C2	95AE	1E	C2	07	7	8C	3C	46	30	31	32	33	02	03
704	bottom	71E8	E2	95B3	1E	C2	07	7	8C	3C	46	30	31	32	33	02	03
706	top	71ED	C3	95AE	1F	C3	07	7	8C	3C	46	30	31	32	33	02	03
706	bottom	71EE	E3	95B3	1F	C3	07	7	8C	3C	46	30	31	32	33	02	03
708	top	71F3	C4	95AE	20	C4	07	7	8C	3C	46	30	31	32	33	02	03
708	bottom	71F4	E4	95B3	20	C4	07	7	8C	3C	46	30	31	32	33	02	03
710	top	71F9	C5	95AE	21	C5	07	7	8C	3C	46	30	31	32	33	02	03
710	bottom	71FA	E5	95B3	21	C5	07	7	8C	3C	46	30	31	32	33	02	03
712	top	71FF	C6	95AE	22	C6	07	7	8C	3C	46	30	31	32	33	02	03
712	bottom	7200	E6	95B3	22	C6	07	7	8C	3C	46	30	31	32	33	02	03
714	top	7205	C7	95AE	23	C7	07	7	8C	3C	46	30	31	32	33	02	03
714	bottom	7206	E7	95B3	23	C7	07	7	8C	3C	46	30	31	32	33	02	03
