pointer_index	translation_status	korean_text	basis	notes
024	english_reference_reviewed	그래, 네가 큰두목이군	english_reference	영어 참조 의미 대조 완료
025	english_reference_reviewed	이 패배자들에게 본때를 보여 주지	english_reference	영어 참조 의미 대조 완료
026	english_reference_reviewed	정말 질기군! 하지만 헤이시가 널 쓰러뜨린다	english_reference	영어 참조 의미 대조 완료
027	english_reference_reviewed	쳇, 나중에 보자	english_reference	영어 참조 의미 대조 완료
028	english_reference_reviewed	이봐! 너희가 그 대단한 두 놈이군	english_reference	영어 참조 의미 대조 완료
029	english_reference_reviewed	나는 긴수다! 한판 붙자	english_reference	영어 참조 의미 대조 완료
030	english_reference_reviewed	젠장! 안타깝지만 넌 반대편이야	english_reference	영어 참조 의미 대조 완료
031	english_reference_reviewed	내 동생 헤이시에게 말해 주마	english_reference	영어 참조 의미 대조 완료
032	english_reference_reviewed	잡을 수 있으면 잡아 봐	english_reference	영어 참조 의미 대조 완료
033	english_reference_reviewed	이봐! 나는 헤이시다	english_reference	영어 참조 의미 대조 완료
034	english_reference_reviewed	이런, 정말 세군	english_reference	영어 참조 의미 대조 완료
035	english_reference_reviewed	진로 큰두목이 널 손봐 주마	english_reference	영어 참조 의미 대조 완료
036	english_reference_reviewed	도망치지 않겠다	english_reference	영어 참조 의미 대조 완료
037	english_reference_reviewed	지금 나와 싸워라	english_reference	영어 참조 의미 대조 완료
038	english_reference_reviewed	너는 밑에서 일하나 토라를 섬긴다고 들었다	english_reference	FB 이름 토큰 앞뒤 명시적 구간 검토 완료
039	english_reference_reviewed	미안하군 친구! 한 번만 봐 줘	english_reference	영어 참조 의미 대조 완료
040	english_reference_reviewed	이 을 가져가라	english_reference	FB 아이템 토큰 앞뒤 명시적 구간 검토 완료
041	english_reference_reviewed	휴, 넌 목욕 좀 해야겠군	english_reference	영어 참조 의미 대조 완료
042	english_reference_reviewed	신세를 졌다	english_reference	영어 참조 의미 대조 완료
043	english_reference_reviewed	여기 있다! 이 한방약을 가져가라	english_reference	영문 의미와 제어 구조 검토 완료
044	english_reference_reviewed	의 상처를 치료해	english_reference	FB 대상 토큰 뒤 명시적 구간 검토 완료
045	english_reference_reviewed	나는 토라의 성스러운 수호자다! 천벌을 받아라	english_reference	영어 참조 의미 대조 완료
046	english_reference_reviewed	허허, 뭐라고?	english_reference	영어 참조 의미 대조 완료
047	english_reference_reviewed	형편없는 외지인들, 너희 영어는 엉망이군	english_reference	영어 참조 의미 대조 완료
048	english_reference_reviewed	이봐! 한 번만 봐 줘, 지난 일은 잊자	english_reference	영어 참조 의미 대조 완료
049	english_reference_reviewed	나도 끼워 줘	english_reference	영어 참조 의미 대조 완료
050	english_reference_reviewed	나중에 보자, 친구	english_reference	영어 참조 의미 대조 완료
051	english_reference_reviewed	히히	english_reference	영어 참조 의미 대조 완료
052	english_reference_reviewed	개인적인 감정은 없어, 미안하다	english_reference	영어 참조 의미 대조 완료
053	english_reference_reviewed	너는 밑에서 일하나 좋아 알려 줄 게 있다	english_reference	FB 이름 토큰 앞뒤 명시적 구간 검토 완료
054	english_reference_reviewed	토라가 그 소녀를 데려갔다	english_reference	영어 참조 의미 대조 완료
055	english_reference_reviewed	너와 함께 갈 수 없어. 대신 내가 가르쳐 주지	english_reference	영어 참조 의미 대조 완료
056	english_reference_reviewed	나의 유명한 단검 공격이다	english_reference	영어 참조 의미 대조 완료
057	english_reference_reviewed	이제 떠나야 한다	english_reference	영어 참조 의미 대조 완료
058	english_reference_reviewed	나중에 보자	english_reference	영어 참조 의미 대조 완료
059	english_reference_reviewed	토라를 찾고 있다면 조심해라	english_reference	영어 참조 의미 대조 완료
060	english_reference_reviewed	토라가 소녀를 납치했을 리 없어, 그렇지?	english_reference	영어 참조 의미 대조 완료
061	english_reference_reviewed	내 말이 맞아 와 가 그녀를 잡았어	english_reference	FB 인물 토큰 두 개의 명시적 구간 검토 완료
062	english_reference_reviewed	그들은 위험하다	english_reference	영어 참조 의미 대조 완료
063	english_reference_reviewed	너는 아사지와 관련 있군. 꽤 강하다고 들었다	english_reference	영문 의미와 제어 구조 검토 완료
064	english_reference_reviewed	나도 끼워 줘	english_reference	영어 참조 의미 대조 완료
065	english_reference_reviewed	부탁한다	english_reference	영어 참조 의미 대조 완료
066	english_reference_reviewed	다시 돌아오겠다	english_reference	영어 참조 의미 대조 완료
067	english_reference_reviewed	그래, 우리가 소녀를 잡았다. 위대한 분을 위해서다	english_reference	영문 의미와 제어 구조 검토 완료
068	english_reference_reviewed	그녀를 되찾고 싶다면 우리를 이겨라	english_reference	영어 참조 의미 대조 완료
069	english_reference_reviewed	그 얼간이가 도망갔다. 믿을 수 없군	english_reference	영어 참조 의미 대조 완료
070	english_reference_reviewed	끝장을 내라, 이 자식아	english_reference	영어 참조 의미 대조 완료
071	english_reference_reviewed	날 놓아준 걸 후회하게 될 거다	english_reference	영어 참조 의미 대조 완료
072	english_reference_reviewed	너희가 누구를 데려와도 우리를 막을 수 없다	english_reference	영어 참조 의미 대조 완료
073	english_reference_reviewed	도망칠 수 있을 때 도망쳐라	english_reference	영어 참조 의미 대조 완료
074	english_reference_reviewed	또 너냐? 젠장	english_reference	영어 참조 의미 대조 완료
075	english_reference_reviewed	너는 정말 웃기는군	english_reference	영어 참조 의미 대조 완료
076	english_reference_reviewed	나도 끼워 줘	english_reference	영어 참조 의미 대조 완료
077	english_reference_reviewed	대장님, 이 일의 배후에는 큰두목이 있다	english_reference	영문 의미와 제어 구조 검토 완료
078	english_reference_reviewed	조심해라. 토라가 아사지라는 깡패를 고용했다	english_reference	영어 참조 의미 대조 완료
079	english_reference_reviewed	큰두목이 고맙다고 전하더군	english_reference	영어 참조 의미 대조 완료
080	english_reference_reviewed	아사지가 정말 누구를 섬기는지 알아내야 한다	english_reference	영어 참조 의미 대조 완료
081	english_reference_reviewed	내가 큰두목이다. 난 악당이고 강하지	english_reference	영어 참조 의미 대조 완료
082	english_reference_reviewed	용서해 줘 형제여 나는	english_reference	영문 분할 대사와 명시적 구간 검토 완료
083	english_reference_reviewed	형제여	english_reference	영어 참조 의미 대조 완료
084	english_reference_reviewed	허허, 내 기막힌 계획은 어떤가?	english_reference	영어 참조 의미 대조 완료
085	english_reference_reviewed	우리가 할 일은 을 없애는 것뿐이다	english_reference	FB 대상 토큰 앞뒤 명시적 구간 검토 완료
086	english_reference_reviewed	뒤를 조심해라. 히히	english_reference	영어 참조 의미 대조 완료
087	english_reference_reviewed	토라, 이 멍청이들이 여기까지 왔다니 믿을 수 없군	english_reference	영어 참조 의미 대조 완료
088	english_reference_reviewed	아사지, 너희 둘은 골칫거리가 되어 가는군	english_reference	영어 참조 의미 대조 완료
089	english_reference_reviewed	아사지, 저들을 어떻게 처리할까?	english_reference	영어 참조 의미 대조 완료
090	english_reference_reviewed	토라, 내가 직접 처리하겠다	english_reference	영어 참조 의미 대조 완료
091	english_reference_reviewed	이런, 너희 정말 독하군	english_reference	영어 참조 의미 대조 완료
092	english_reference_reviewed	배짱은 있군	english_reference	영어 참조 의미 대조 완료
093	english_reference_reviewed	아직 살아 있었군	english_reference	영어 참조 의미 대조 완료
094	english_reference_reviewed	아사지, 이 쓸모없는 자식	english_reference	영어 참조 의미 대조 완료
095	english_reference_reviewed	그래, 또 만났군. 토라를 이겼다고? 대단하군	english_reference	영어 참조 의미 대조 완료
096	english_reference_reviewed	여기 있다, 이 부적을 받아라	english_reference	영어 참조 의미 대조 완료
097	english_reference_reviewed	지금 장난하냐?	english_reference	영어 참조 의미 대조 완료
098	english_reference_reviewed	이제라면 그를 이길 수 있을지도 모른다	english_reference	영어 참조 의미 대조 완료
099	english_reference_reviewed	배짱이 있다면 나와 싸워라, 아사지	english_reference	영어 참조 의미 대조 완료
100	english_reference_reviewed	나도 끼워 줘	english_reference	영어 참조 의미 대조 완료
101	english_reference_reviewed	큰두목이 이것을 주셨다	english_reference	영어 참조 의미 대조 완료
102	english_reference_reviewed	안 돼! 큰두목님	english_reference	영어 참조 의미 대조 완료
103	english_reference_reviewed	이 일은 나중에 결판내자	english_reference	영어 참조 의미 대조 완료
104	english_reference_reviewed	아사지, 너희를 박살내 주마	english_reference	영문 의미와 제어 구조 검토 완료
105	english_reference_reviewed	하지만 먼저 너희에게 진실을 알려 주지	english_reference	영문 의미와 제어 구조 검토 완료
106	english_reference_reviewed	너희는 그저 꼭두각시였어	english_reference	영어 참조 의미 대조 완료
107	english_reference_reviewed	아사지, 죽기 전에 실컷 기도해라	english_reference	영어 참조 의미 대조 완료
108	english_reference_reviewed	허허, 이 멍청한 자식들	english_reference	영어 참조 의미 대조 완료
109	english_reference_reviewed	이 비디오 게임의 음악은 정말 멋지지 않나?	english_reference	영어 참조 의미 대조 완료
110	english_reference_reviewed	또 얻어맞으러 돌아왔군	english_reference	영어 참조 의미 대조 완료
111	english_reference_reviewed	어?	english_reference	영어 참조 의미 대조 완료
112	english_reference_reviewed	받아라! 뭐라고?	english_reference	영문 분할 대사와 명시적 구간 검토 완료
113	english_reference_reviewed	이제 정말 화났다	english_reference	영어 참조 의미 대조 완료
114	english_reference_reviewed	꺄악!	english_reference	영어 참조 의미 대조 완료
115	english_reference_reviewed	둠디둠	english_reference	영어 참조 의미 대조 완료
116	english_reference_reviewed	이봐, 풋내기!	english_reference	영어 참조 의미 대조 완료
117	english_reference_reviewed	한 번만 더!	english_reference	영어 참조 의미 대조 완료
118	english_reference_reviewed	락 앤 롤!	english_reference	영어 참조 의미 대조 완료
119	english_reference_reviewed	이런, 정말 별로군	english_reference	영어 참조 의미 대조 완료
120	english_reference_reviewed	이런!	english_reference	영어 참조 의미 대조 완료
121	english_reference_reviewed	이게 대체 뭐야?	english_reference	영어 참조 의미 대조 완료
122	english_reference_reviewed	내가 녀석들을 때려 주지	english_reference	영어 참조 의미 대조 완료
123	english_reference_reviewed	네놈을 박살내 주마	english_reference	영어 참조 의미 대조 완료
124	english_reference_reviewed	이봐, 겁쟁이!	english_reference	영어 참조 의미 대조 완료
125	english_reference_reviewed	이거나 먹어라!	english_reference	영어 참조 의미 대조 완료
126	english_reference_reviewed	널 기억해 두겠다	english_reference	영어 참조 의미 대조 완료
127	english_reference_reviewed	으에!	english_reference	영어 참조 의미 대조 완료
128	english_reference_reviewed	으악!	english_reference	영어 참조 의미 대조 완료
129	english_reference_reviewed	이 자식!	english_reference	영어 참조 의미 대조 완료
130	english_reference_reviewed	으아!	english_reference	영어 참조 의미 대조 완료
131	english_reference_reviewed	꺄!	english_reference	영어 참조 의미 대조 완료
132	english_reference_reviewed	꺄악!	english_reference	영어 참조 의미 대조 완료
133	english_reference_reviewed	으악!	english_reference	영어 참조 의미 대조 완료
134	english_reference_reviewed	아야야야!	english_reference	영어 참조 의미 대조 완료
135	english_reference_reviewed	어서 오세요	english_reference	영어 참조 의미 대조 완료
136	english_reference_reviewed	무엇을 원하시나요?	english_reference	영어 참조 의미 대조 완료
137	english_reference_reviewed	소지품이 가득 찼습니다	english_reference	영어 참조 의미 대조 완료
138	english_reference_reviewed	돈이 부족합니다	english_reference	영어 참조 의미 대조 완료
139	english_reference_reviewed	정말 확실한가요?	english_reference	영어 참조 의미 대조 완료
140	english_reference_reviewed	고맙습니다	english_reference	영어 참조 의미 대조 완료
141	english_reference_reviewed	먹었습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
142	english_reference_reviewed	마셨습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
143	english_reference_reviewed	얻었습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
144	english_reference_reviewed	장착했습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
145	english_reference_reviewed	다른 것은 더 없나요?	english_reference	영어 참조 의미 대조 완료
146	english_reference_reviewed	고맙습니다. 또 오세요	english_reference	영어 참조 의미 대조 완료
147	english_reference_reviewed	여기 머무르시겠어요?	english_reference	영어 참조 의미 대조 완료
148	english_reference_reviewed	편히 쉬세요	english_reference	영어 참조 의미 대조 완료
149	english_reference_reviewed	회복했습니다	english_reference	영어 참조 의미 대조 완료
150	english_reference_reviewed	도박을 해 볼래요?	english_reference	영어 참조 의미 대조 완료
151	english_reference_reviewed	준비됐습니다	english_reference	영어 참조 의미 대조 완료
152	english_reference_reviewed	지금 가세요	english_reference	영어 참조 의미 대조 완료
153	english_reference_reviewed	우리에게 와	english_reference	FD/FE 아이템 토큰 사이 명시적 구간 검토 완료
154	english_reference_reviewed	이겼습니다	english_reference	영어 참조 의미 대조 완료
155	english_reference_reviewed	졌습니다	english_reference	영어 참조 의미 대조 완료
156	english_reference_reviewed	그렇군요	english_reference	영어 참조 의미 대조 완료
157	english_reference_reviewed	산키, 다시 오셨군요	english_reference	영어 참조 의미 대조 완료
158	english_reference_reviewed	무언가 필요하신가요?	english_reference	영어 참조 의미 대조 완료
159	english_reference_reviewed	천만에요	english_reference	영어 참조 의미 대조 완료
160	english_reference_reviewed	무언가 필요하신가요?	english_reference	영어 참조 의미 대조 완료
161	english_reference_reviewed	조심하세요	english_reference	영어 참조 의미 대조 완료
162	excluded_non_dialogue		english_reference	단독 종료 바이트라 번역하지 않음
163	english_reference_reviewed	동료를 선택하세요	english_reference	영어 참조 의미 대조 완료
164	english_reference_reviewed	산키 오코토가	english_reference	영문 분할 대사와 명시적 구간 검토 완료
165	english_reference_reviewed	산키, 두 사람이 번개처럼 나타났습니다	english_reference	영어 참조 의미 대조 완료
166	english_reference_reviewed	산키, 저는 아무것도 못 했습니다. 미안합니다	english_reference	영어 참조 의미 대조 완료
167	english_reference_reviewed	바보들! 우리가 그들을 찾을 것이다	english_reference	영문 의미와 제어 구조 검토 완료
168	english_reference_reviewed	그 한방약이 효과가 있었어! 나았어	english_reference	영어 참조 의미 대조 완료
169	english_reference_reviewed	드디어 토라와 싸울 수 있어	english_reference	영어 참조 의미 대조 완료
170	english_reference_reviewed	이 부적이 너를 지켜 줄 거야	english_reference	영문 의미와 제어 구조 검토 완료
171	english_reference_reviewed	여기서 기다릴게. 오코토를 구해 줘	english_reference	영어 참조 의미 대조 완료
172	english_reference_reviewed	그래	english_reference	영어 참조 의미 대조 완료
173	english_reference_reviewed	아사지, 후지로 가는 게 어때?	english_reference	영문 의미와 제어 구조 검토 완료
174	english_reference_reviewed	큰두목에게 확인하고 가야겠어	english_reference	영어 참조 의미 대조 완료
175	english_reference_reviewed	부탁이야, 나를 보내 줘	english_reference	영문 의미와 제어 구조 검토 완료
176	english_reference_reviewed	누군가 이것을 문 앞에 두고 갔어	english_reference	영문 의미와 제어 구조 검토 완료
177	english_reference_reviewed	오코토, 아사지가 나를 납치했어	english_reference	영어 참조 의미 대조 완료
178	english_reference_reviewed	집에 가. 모두가 걱정하고 있어	english_reference	영어 참조 의미 대조 완료
179	english_reference_reviewed	오코토, 흑흑 고마워. 조심해	english_reference	영어 참조 의미 대조 완료
180	english_reference_reviewed	아사지가 사라졌어	english_reference	영문 의미와 제어 구조 검토 완료
181	english_reference_reviewed	츠우, 오빠! 기다려!	english_reference	영어 참조 의미 대조 완료
182	english_reference_reviewed	쿠니오, 서둘러! 분조가 곤경에 빠졌어!	english_reference	영어 참조 및 오프닝 화면 대조 완료
183	english_reference_reviewed	오코토, 쿠니오!	english_reference	영어 참조 및 오프닝 화면 대조 완료
184	english_reference_reviewed	쿠니오, 서둘러 돌아오려고 했어	english_reference	영어 참조 및 오프닝 화면 대조 완료
185	english_reference_reviewed	오코토 이 사람은	english_reference	영문 분할 대사와 명시적 구간 검토 완료
186	english_reference_reviewed	아사지, 나는 오코토의 약혼자야	english_reference	영어 참조 의미 대조 완료
187	english_reference_reviewed	그건 두고 보자	english_reference	영어 참조 의미 대조 완료
188	english_reference_reviewed	아사지, 조용히 해. 두목님이 기다리신다	english_reference	영어 참조 의미 대조 완료
189	english_reference_reviewed	오, 스승님! 늦어서 죄송합니다	english_reference	영어 참조 의미 대조 완료
190	english_reference_reviewed	아, 쿠니오! 드디어 왔구나	english_reference	영어 참조 의미 대조 완료
191	english_reference_reviewed	토라가 나에게 저주를 걸었다	english_reference	영어 참조 의미 대조 완료
192	english_reference_reviewed	치료사를 찾아가라	english_reference	영어 참조 의미 대조 완료
193	english_reference_reviewed	한방약을 가진 사람은 누구냐?	english_reference	영어 참조 의미 대조 완료
194	english_reference_reviewed	나만 믿어	english_reference	영어 참조 의미 대조 완료
195	english_reference_reviewed	부디 서둘러라	english_reference	영어 참조 의미 대조 완료
196	english_reference_reviewed	잘했다	english_reference	영어 참조 의미 대조 완료
197	english_reference_reviewed	모두를 구했구나	english_reference	영어 참조 의미 대조 완료
198	english_reference_reviewed	그런데 말이다	english_reference	영어 참조 의미 대조 완료
199	english_reference_reviewed	오코토와 너라면 훌륭한 가족이 되겠군	english_reference	영어 참조 의미 대조 완료
200	english_reference_reviewed	그렇지, 오코토?	english_reference	영어 참조 의미 대조 완료
201	english_reference_reviewed	오코토, 아 맞다	english_reference	영어 참조 의미 대조 완료
202	english_reference_reviewed	제발 부탁합니다	english_reference	영문 의미와 제어 구조 검토 완료
203	english_reference_reviewed	좋아! 최고의 행복을 느끼는 순간이군	english_reference	영어 참조 의미 대조 완료
204	english_reference_reviewed	축하주를 주문해야겠어	english_reference	영어 참조 의미 대조 완료
205	english_reference_reviewed	나는 떠돌이야. 마을에서 마을로 떠돌지	english_reference	영문 의미와 제어 구조 검토 완료
206	english_reference_reviewed	오코토에게는 훨씬 더 좋은 사람이 어울려	english_reference	영문 의미와 제어 구조 검토 완료
207	english_reference_reviewed	그렇게 느꼈다면 미안해. 하지만	english_reference	영어 참조 연속 문장 대조 완료
208	english_reference_reviewed	언제든 우리를 만나러 와	english_reference	영어 참조 연속 문장 대조 완료
209	english_reference_reviewed	마을에 오면 언제든 들러	english_reference	영어 참조 연속 문장 대조 완료
210	english_reference_reviewed	알겠어. 이제 가야 해	english_reference	영문 의미와 제어 구조 검토 완료
211	english_reference_reviewed	잘 가	english_reference	영어 참조 의미 대조 완료
212	english_reference_reviewed	오코토	english_reference	영어 참조 의미 대조 완료
213	english_reference_reviewed	오코토, 흐흑	english_reference	영어 참조 의미 대조 완료
214	english_reference_reviewed	둠디둠, 이 이야기가 재미있지 않나?	english_reference	영어 참조 의미 대조 완료
215	english_reference_reviewed	끝냈구나. 할 일도 없냐?	english_reference	영어 참조 도발 어조 대조 완료
216	english_reference_reviewed	다시 만날지도 모르지. 그때 혼내 주마	english_reference	영어 참조 의미 대조 완료
217	english_reference_reviewed	끝	english_reference	영어 참조 의미 대조 완료
218	english_reference_reviewed	모험은 지금 시작된다	english_reference	영어 참조 연속 인트로 대조 완료
219	english_reference_reviewed	어서 오세요	english_reference	영어 참조 연속 인트로 대조 완료
220	english_reference_reviewed	다운타운 스페셜! 싸움꾼들이여 만세!	english_reference	영어 참조 의미 대조 완료
221	english_reference_reviewed	에서 우리를 만나라	english_reference	뒤따르는 장소 제어 토큰 보존
222	english_reference_reviewed	수수께끼의 땅 스루가, 후지산의 고향	english_reference	영어 참조 의미 대조 완료
223	english_reference_reviewed	거친 바다를 건너	english_reference	영어 참조 의미 대조 완료
224	english_reference_reviewed	의무와 사랑이 기다린다	english_reference	영어 참조 의미 대조 완료
225	english_reference_reviewed	쿠니오의 사랑이 기다린다	english_reference	영어 참조 의미 대조 완료
226	english_reference_reviewed	과연 그럴까?	english_reference	영어 참조 연속 인트로 대조 완료
227	english_reference_reviewed	사용했습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
228	english_reference_reviewed	새 지역으로 갈 준비가 됐나요? 그래	english_reference	영어 참조 의미 대조 완료
229	english_reference_reviewed	주었습니다	english_reference	영어 참조 의미 대조 완료
230	english_reference_reviewed	떨어뜨렸습니다	english_reference	동적 아이템 토큰 UI 문장 검토 완료
231	english_reference_reviewed	상태가 올랐습니다	english_reference	동적 주체 토큰 UI 문장 검토 완료
232	english_reference_reviewed	의 상승량	english_reference	F0/F2/F5 토큰 사이 명시적 구간 검토 완료
233	english_reference_reviewed	의 상승	english_reference	F0/F2/F5 토큰 사이 명시적 구간 검토 완료
234	english_reference_reviewed	의 최대	english_reference	F0/F2 토큰 사이 명시적 구간 검토 완료
235	english_reference_reviewed	기술을 배웠습니다	english_reference	동적 주체 토큰 UI 문장 검토 완료
236	english_reference_reviewed	상태 레벨 상승! 이제 두 배입니다	english_reference	영어 참조 의미 대조 완료
237	english_reference_reviewed	지도 커서로 이동하세요	english_reference	영어 참조 의미 대조 완료
238	english_reference_reviewed	해제했습니다	english_reference	장비 제거 의미로 영어 참조 대조 완료
239	english_reference_reviewed	미소 지었습니다	english_reference	동적 주체 토큰 문장 검토 완료
240	english_reference_reviewed	몸이 가벼워졌습니다	english_reference	동적 주체 토큰 문장 검토 완료
241	english_reference_reviewed	멋진 순간입니다	english_reference	영어 참조 의미 대조 완료
242	english_reference_reviewed	장비와 능력치가 이제 두 배입니다	english_reference	영어 참조 의미 대조 완료
243	english_reference_reviewed	넘어졌습니다	english_reference	동적 주체 토큰 문장 검토 완료
244	excluded_non_dialogue		english_reference	단독 변수 종료 레코드라 번역하지 않음
245	english_reference_reviewed	가족	english_reference	영문 의미와 제어 구조 검토 완료
246	excluded_non_dialogue		english_reference	코드/데이터 블록으로 보이며 대사 패치에서 제외
247	excluded_non_dialogue		english_reference	포인터 테이블 외부 소유자이며 대사 레코드 아님
