# 쿠니오 시대극 한글패치 - 번역 데이터
# 형식: 일본어 원문 | 한글 번역 | 카테고리 | 비고

# ===== 1. 타이틀 / 메뉴 =====
ダウンタウンスペシャル | 다운타운 스페셜 | 타이틀
はりてすぺしゃる | 빰 때리기 S | 기술
どすすぺしゃる | 강타 S | 기술
ずつきすぺしゃる | 박치기 S | 기술
あんますぺしゃる | 안마 S | 기술
びっぐばんぐ | 빅뱅 | 기술
へんしんわざ | 변신술 | 기술
やまたのじゅつ | 야마타의 술 | 기술

# ===== 7. 보스 / 적 =====
ぎんぱち | 긴파치 | 보스
いちべえ | 이치베에 | 보스
ろくべえ | 로쿠베에 | 보스
きんすけ | 킨스케 | 보스
ためきち | 타메키치 | 보스
ごんさく | 곤사쿠 | 보스
へいしち | 헤이시치 | 보스
じんろく | 진로쿠 | 보스
はんしろう | 한시로 | 보스
やごろう | 야고로 | 보스
にざえもん | 니자에몬 | 보스
たついち | 타츠이치 | 보스
たつじ | 타츠지 | 보스
とらぞうおやぶん | 토라조 두목 | 보스
くろまく | 흑막 | 보스
じゅうきち | 쥬키치 | 보스
あさじろう | 아사지로 | 보스

# ===== 8. 스테이지 =====
はじまりのまち | 시작 마을 | 스테이지
やまみち | 산길 | 스테이지
はやし | 숲 | 스테이지
かわら | 강가 | 스테이지
どうくつ | 동굴 | 스테이지
やまのうえ | 산 위 | 스테이지
はし | 다리 | 스테이지
じごく | 지옥 | 스테이지
ろうてい | 누정 | 스테이지
おしろ | 성 | 스테이지
はたけ | 밭 | 스테이지
とざん | 등산 | 스테이지
かじや | 대장간 | 스테이지
はかば | 묘지 | 스테이지
みずうみ | 호수 | 스테이지

# ===== 9. 이벤트 대사 =====
やったー！ | 이겼다! | 대사
まけた… | 졌다… | 대사
たすけてくれ！ | 도와줘! | 대사
まってくれ！ | 기다려! | 대사
これをもっていけ | 이걸 가져가라 | 대사
なかまになった！ | 동료가 되었다! | 대사
レベルがあがった！ | 레벨이 올랐다! | 대사
わざをおぼえた！ | 기술을 익혔다! | 대사
みにつけた！ | 몸에 익혔다! | 대사

# ===== 10. 엔딩 =====
おわり | 끝 | 엔딩
おしまい | 끝 | 엔딩
エンディング | 엔딩 | 엔딩
スタッフ | 스태프 | 엔딩
おめでとう！ | 축하합니다! | 엔딩

# ===== 11. 특수 =====
こがねむし | 코가네무시 | 특수 | 최강 이름
裏技 | 숨겨진 기술 | 특수
必殺技MAX | 필살기 MAX | 특수

# ===== 12. 기타 =====
相棒つるまつの裏切り | 파트너 츠루마츠의 배신 | 이벤트
やごろうと再会 | 야고로와 재회 | 이벤트
変身の術で、やごろうに変身 | 변신술로 야고로 변신 | 이벤트
よのすけから薬をもらい | 요노스케에게 약을 받음 | 이벤트
倒して許すと仲間に | 쓰러뜨리고 용서하면 동료로 | 이벤트
賭場でお金稼ぎ | 도박장에서 돈벌이 | 이벤트
真エンディング | 진 엔딩 | 이벤트
