id	context	jp_offset	jp_text	en_offset	en_text	pointer_offset	terminator	max_width	status	confidence	notes
PTR-010	Bank 1 pointer-driven text	0x060D3	<F0><BB><A2><84><A8><A4><8C><90><CA><00><8B><8D><06><CB><00><A4><92><99><82><B4><90><94><85><A8><10><F8><F9><00><81><B4><8C><A3><00><95><96><86><00><91><86><A7><96><95><A8><A4><8D><A6><FF>	0x060F3	<F0><BB><00>I GIVE UP<CA><F8>YOU<B6>RE TOO GOOD<CA><FF>	0x05DE8	0x06112	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-011	Bank 1 pointer-driven text	0x06102	<F0><BB><93><84><8C><90><8A><94><81><A8><A4><8E><AE><98><CB><00><8A><AE><95><9A><0D><13><9A><CB><FF>	0x06129	<F0><BB><00>YOU<00>AIN<B6>T<00>SEEN<00>NOTHIN<F8>YET<CA><FF>	0x05DEA	0x06147	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-013	Bank 1 pointer-driven text	0x06123	<F0><BB><8D><89><10><91><00><82><90><8C><A4><8D><CA><CA><FF>	0x0614E	<F0><BB><00>LEMME<00>KICK<00>HIM<CA><FF>	0x05DEE	0x06161	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-014	Bank 1 pointer-driven text	0x06132	<F0><BB><8A><9F><89><84><8A><94><9A><00><82><82><B4><8A><95><8C><10><F8><F9><00><85><A2><84><8B><AE><96><B5><AF><00><8E><AC><AE><95><B4><90><0E><CA><FF>	0x06161	<F0><BB><00>THANKS<00>A<00>LOT<CA><FF>	0x05DF0	0x06172	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-015	Bank 1 pointer-driven text	0x06158	<82><91><1D><84><BB><95><AE><13><84><00><85><A2><84><A7><CA><FF>	0x06172	ICHI<BB><00>WHO<00>ARE<00>YOU<00>GUYS<B9><F8>ANYWAY<CC><FF>	0x05DF2	0x06192	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-016	Bank 1 pointer-driven text	0x06168	<AB><88><1D><84><BB><86><9F><AC><98><84><00><A4><B4><91><A2><B2><B4><CA><FF>	0x06192	ROKU<BB><00>GET<00><B6>EM<CB><FF>	0x05DF4	0x061A1	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-017	Bank 1 pointer-driven text	0x0617B	<AB><88><1D><84><BB><9F><82><A8><A4><8C><90><CA><FF>	0x061A1	ROKU<BB><00>AARGH<CB><00>I<00>LOST<CA><FF>	0x05DF6	0x061B6	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-018	Bank 1 pointer-driven text	0x06188	<F0><BB><81><B4><8C><A7><9A><00><81><88><94><83><10><06><F8><F9><00><85><AE><95><9A><00><8B><A7><AC><98><B2><95><AF><CB><AB><88><1D><84><99><CA><FF>	0x061B6	<F0><BB><00>WE<00>MAY<00>BE<00>BAD<B9><00>BUT<00>WE<F8>DON<B6>T<00>HURT<00>WOMEN<CA><FF>	0x05DF8	0x061E1	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-019	Bank 1 pointer-driven text	0x061AD	<F0><BB><95><AE><13><B2><00><86><B4><91><9F><B4><90><CA><FF>	0x061E1	<F0><BB><00>WHAT<CB><CB>I<00>BEAT<00>THEM<CA><FF>	0x05DFA	0x061F7	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-020	Bank 1 pointer-driven text	0x061BC	<F0><BB><1B><71><B4><08><1E><8D><00><0C><AE><AB><88><96><90><99><9F><AA><93><F8><F9><00><81><95><90><06><90><AD><00><90><85><8C><9F><71><8D><98><00><85><71><89><71><CC><FF>	0x061F7	<F0><BB><00>BEEG<00>BOSS<00>JINRO<00>SENT<F8>ME<00>TO<00>KICK<00>YOUR<00>BUTTS<CA><FF>	0x05DFC	0x06226	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-021	Bank 1 pointer-driven text	0x061E7	<F0><BB><8D><93><87><95><00><91><B6><83><0A><88><0C><AE><00><8C><B7><83><86><82><8C><9F><71><8D><F8><F9><00><A8><88><91><B6><83><99><00><85><AE><8E><AE><96><00><82><9F><71><8D><FF>	0x06226	<F0><BB><00>I<B6>M<00>GONNA<00>KICK<00>YOUR<F8>ASSES<00>ALL<00>THE<00>WAY<00>TO<00>CHINA<CA><FF>	0x05DFE	0x06259	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-023	Bank 1 pointer-driven text	0x06221	<F0><BB><1B><71><B4><08><1E><8D><00><0C><AE><AB><88><96><00><8C><86><A7><AA><9F><71><8D><FF>	0x06259	<F0><BB><00>JINRO<00>WILL<00>SEE<00>YA<00>NOW<CA><FF>	0x05E02	0x06273	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-024	Bank 1 pointer-driven text	0x06238	<F0><BB><81><95><90><06><81><90><A7><8C><82><00><1B><71><B4><08><1E><8D><98><CD><FF>	0x06273	<F0><BB><00>SO<B9><00>YOU<B6>RE<00>BEEG<00>BOSS<CB><FF>	0x05E04	0x0628C	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-025	Bank 1 pointer-driven text	0x0624D	<F0><BB><81><88><94><83><95><AE><0B><00><8C><B7><8E><AE><90><82><8C><90><8A><90><AF><95><82><A4><95><F8><F9><00><81><B4><8C><9B><94><A8><13><00><0C><B6><83><1C><AE><13><B2><CA><FF>	0x0628C	<F0><BB><00>I<B6>LL<00>SHOW<00>THESE<00>LOSERS<F8>A<00>THING<00>OR<00>TWO<CA><FF>	0x05E06	0x062B6	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-026	Bank 1 pointer-driven text	0x0627A	<F0><BB><85><A2><B2><90><91><06><00><8A><AE><95><96><92><84><B2><90><AF><95><CB><F8><F9><00><10><06><00><9D><82><8C><91><99><81><96><87><96><B5><00><86><95><83><A2><B2><CA><FF>	0x062B6	<F0><BB><00>JEEZ<B9><00>YOU<B6>RE<00>TOUGH<B9><00>BUT<F8>HEISI<00>WILL<00>CRUSH<00>YOU<CA><CA><FF>	0x05E08	0x062E8	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-027	Bank 1 pointer-driven text	0x062A6	<F0><BB><9A><B4><00><9A><B4><00><9A><B4><00><81><1A><A6><B4><CA><00><81><88><94><83><CA><FF>	0x062E8	<F0><BB><00>NYAH<CA><00>LATER<CB><FF>	0x05E0A	0x062F8	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-028	Bank 1 pointer-driven text	0x062BD	<F0><BB><85><A2><B2><90><91><86><82><CA><00><81><88><94><83><93><B2><99><9A><FF>	0x062F8	<F0><BB><00>HEY<CA><00>YOU<B6>RE<00>THOSE<F8>TWO<00>BAD<71>ASSES<CC><FF>	0x05E0C	0x0631C	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-029	Bank 1 pointer-driven text	0x062D1	<F0><BB><82><10><93><AE><99><F0><8B><AE><06><F8><F9><00><81><82><93><96><95><B4><93><A4><A9><0E><CA><FF>	0x0631C	<F0><BB><00>I<B6>M<00>KINSU<CB><00>LET<B6>S<F8>BOOGIE<CA><FF>	0x05E0E	0x06338	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-030	Bank 1 pointer-driven text	0x062EB	<F0><BB><90><8C><86><96><92><84><B2><CB><00><81><B4><8C><99><9F><89><B4><8D><A6><F8><F9><00><81><88><94><83><96><8C><94><88><95><AF><00><A3><B4><93><B2><98><B2><9A><95><8C><10><CA><FF>	0x06338	<F0><BB><00>DAMN<CA><00>TOO<00>BAD<00>YOU<B6>RE<F8>ON<00>THE<00>WRONG<00>SIDE<BA><FF>	0x05E10	0x06363	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-031	Bank 1 pointer-driven text	0x06319	<F0><BB><9D><82><8C><91><99><81><96><87><96><00><A6><B3><88><92><90><84><94><82><93><A4><A9><0E><FF>	0x06363	<F0><BB><00>I<B6>M<00>GONNA<00>TELL<00>MY<F8>BROTHER<B9><00>HEISI<CA><FF>	0x05E12	0x06388	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-032	Bank 1 pointer-driven text	0x06332	<F0><BB><14><83><13><B2><CC><00><81><B4><8C><99><00><9A><A4><8B><96><B5><AF><F8><F9><00><92><82><93><8A><A7><AA><A2><B2><CA><FF>	0x06388	<F0><BB><00>CATCH<00>ME<00>IF<00>YOU<00>CAN<CA><FF>	0x05E14	0x063A0	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-033	Bank 1 pointer-driven text	0x06352	<F0><BB><81><B4><8C><06><00><9D><82><8C><91><13><0A><0B><AE><8D><FF>	0x063A0	<F0><BB><00>HEY<CA><00>I<B6>M<00>HEISI<CB><FF>	0x05E16	0x063B3	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-034	Bank 1 pointer-driven text	0x06363	<F0><BB><92><A6><82><CB><00><85><A2><B2><8B><AE><90><91><B5><82><B4><90><82><F8><F9><00><95><96><A3><AE><95><AE><13><B2><CA><FF>	0x063B3	<F0><BB><00>GAWD<B9><00>YOU<B6>RE<00>TOUGH<CA><FF>	0x05E18	0x063CA	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-035	Bank 1 pointer-driven text	0x06383	<F0><BB><10><06><00><0C><AE><AB><88><99><00><85><85><85><A4><1C><AE><9A><F8><F9><00><85><A2><B2><8B><AE><90><91><90><AF><91><B0><94><91><06><83><0E><CA><FF>	0x063CA	<F0><BB><00>BEEG<00>BOSS<00>JINRO<F8>WILL<00>FIX<00>YOU<CA><FF>	0x05E1A	0x063EB	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-036	Bank 1 pointer-driven text	0x063AA	<F0><BB><81><B4><8C><9A><00><96><09><A3><86><88><AA><A3><00><8C><A4><8E><AE><0E><CA><FF>	0x063EB	<F0><BB><00>I<00>WON<B6>T<00>RUN<FF>	0x05E1C	0x063FA	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-037	Bank 1 pointer-driven text	0x063C0	<F0><BB><81><B4><8C><06><00><81><82><93><96><95><A8><A4><8C><B7><83><CB><FF>	0x063FA	<F0><BB><00>FIGHT<00>ME<00>NOW<CA><FF>	0x05E1E	0x0640B	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-038	Bank 1 pointer-driven text	0x063D3	<F0><BB><95><AE><94><CA><00><85><A2><B2><8B><AE><90><91><B5><00><FB><00><8B><AE><99><CC><F8><F9><00><94><A7><0F><83><99><00><82><91><A0><0C><B5><00><98><B2><AE><13><8D><86><82><CC><FF>	0x0640B	<F0><BB><00>YOU<00>WORK<00>FOR<00><FB><00><CC><F8>I<00>THOUGHT<00>YOU<00>SERVED<00>TORA<CA><FF>	0x05E20	0x0643A	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-039	Bank 1 pointer-driven text	0x06401	<F0><BB><A3><83><8C><AC><89><98><B2><00><8A><8A><9A><9B><94><92><F8><F9><00><8A><99><0C><AE><AB><88><96><00><9B><94><9A><10><97><06><8B><8C><93><85><88><AE><95><8E><B2><FF>	0x0643A	<F0><BB><00>SORRY<B9><00>PAL<CB>HEY<B9><F8>GIMME<00>A<00>BREAK<CA><FF>	0x05E22	0x0645C	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-040	Bank 1 pointer-driven text	0x0642C	<F0><BB><83><91><99><00><FB><01><AD><00><8D><89><B4><94><96><00><14><B3><13><B2><CC><FF>	0x0645C	<F0><BB><00>TAKE<00><FB><01><00>WITH<00>YOU<CA><FF>	0x05E24	0x06471	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-041	Bank 1 pointer-driven text	0x06442	<F0><BB><86><85><13><A3><81><A7><B4><93><00><13><95><85><8C><93><87><95><8E><B2><FF>	0x06471	<F0><BB><00>PHEW<CB><00>YOU<00>NEED<00>A<F8>BATH<CA><FF>	0x05E26	0x0648B	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-042	Bank 1 pointer-driven text	0x06457	<F0><BB><85><AE><96><87><A9><0E><CA><FF>	0x0648B	<F0><BB><00>I<00>OWE<00>YA<00>ONE<CA><FF>	0x05E28	0x0649C	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-043	Bank 1 pointer-driven text	0x06461	<F0><BB><FA><8B><AE><00><82><82><A3><99><AD><00><A3><B4><93><87><A4><8C><90><CA><F8><F9><00><9A><A4><A8><A4><9F><82><96><87><88><00><86><AE><5E><83><A4><88><10><8F><83><13><CB><FF>	0x0649C	<F0><BB><00>HERE<B9><00><FA><B9><00>TAKE<F8>THIS<00>KANPOU<BA><FF>	0x05E2A	0x064BA	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-044	Bank 1 pointer-driven text	0x0648E	<F0><BB><FB><00><8B><AE><96><00><AC><90><8C><93><85><87><A4><8C><90><A6><FF>	0x064BA	<F0><BB><00>USE<00>IT<00>TO<00>CURE<00><FB><00><CA><FF>	0x05E2C	0x064D0	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-045	Bank 1 pointer-driven text	0x064A1	<F0><BB><5C><5C><B4><CB><00><8E><B4><8C><B5><9A><00><94><A7><0F><83><82><B4><86><99><00><A3><99><F8><F9><00><83><87><A6><99><85><96><A2><00><93><AE><96><86><AC><B4><93><8E><82><1A><82><82><90><8D><FF>	0x064D0	<F0><BB><00>I<B6>M<00>TORA<B6>S<00>HOLY<00>GUARD<BA><F8>PREPARE<00>FOR<00>HEAVEN<B6>S<00>WRATH<CA><FF>	0x05E2E	0x06506	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-046	Bank 1 pointer-driven text	0x064D3	<F0><BB><5C><5C><B4><CB><00><95><AE><94><CC><FF>	0x06509	<F0><BB><00>HEH<CB>WHAT<CC><FF>	0x05E30	0x06516	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-047	Bank 1 pointer-driven text	0x064DF	<F0><BB><9C><A7><91><95><00><81><88><94><83><A2><F8><F9><00><85><97><8C><A7><99><A3><83><8D><8A><94><9A><00><A6><88><AC><86><A7><AE><CB><FF>	0x06516	<F0><BB><00>LOUSY<00>FOREIGNERS<CB><F8>YOUR<00>ENGLISH<00>SUCKS<CA><FF>	0x05E32	0x0653F	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-048	Bank 1 pointer-driven text	0x06502	<F0><BB><5C><5C><B4><CB><00><82><92><0F><A4><9A><00><8D><9F><97><8A><94><AD><CB><F8><F9><00><8E><B4><8C><B5><99><00><9C><86><88><13><0A><0B><B4><90><FF>	0x0653F	<F0><BB><00>HEY<CA><00>GIMME<00>A<00>BREAK<BA><F8>LET<00>BYGONES<00>BE<00>BYGONES<CB><FF>	0x05E34	0x0656E	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-049	Bank 1 pointer-driven text	0x06528	<F0><BB><85><97><8C><A7><96><00><86><8E><82><8B><8E><93><9A><88><AA><97><86><CC><FF>	0x0609A	<F0><BB><00>PLEASE<00>LET<00>ME<00>JOIN<00>YOU<CA><FF>	0x05E36	0x060B5	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-050	Bank 1 pointer-driven text	0x0653D	<F0><BB><5C><5C><B4><CB><00><86><90><0C><89><95><82><CB><FF>	0x0656E	<F0><BB><00>LATER<B9><00>BUD<CB><FF>	0x05E38	0x0657D	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-051	Bank 1 pointer-driven text	0x0654C	<F0><BB><5C><5C><5C><B4><CB><00><8C><92><AA><82><92><86><9F><92><A9><CA><FF>	0x0657D	<F0><BB><00>HEEHEE<CB><CB><FF>	0x05E3A	0x06589	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-052	Bank 1 pointer-driven text	0x0655F	<F0><BB><95><AE><99><83><A7><A0><A3><81><A8><A4><8E><AE><06><CB><F8><F9><00><8A><AA><A3><00><94><8E><82><99><07><A8><96><0A><0B><AE><8D><00><0A><A2><AE><95><8D><B4><93><FF>	0x06589	<F0><BB><00>NOTHING<00>PERSONAL<CB><F8>SORRY<CA><FF>	0x05E3C	0x065A5	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-053	Bank 1 pointer-driven text	0x0658A	<F0><BB><85><A2><B2><8B><AE><9A><00><FB><00><8B><AE><99><00><87><B5><88><0C><AE><86><82><F8><F9><00><95><A9><9E><14><00><9B><13><B2><9A><95><8C><10><00><A5><A9><8E><98><B2><CA><FF>	0x065A5	<F0><BB><00>YOU<00>WORK<00>FOR<00><FB><00><CC><F8>WELL<B9><00>I<00>HAVE<00>SOME<00>NEWS<CB><FF>	0x05E3E	0x065D1	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-054	Bank 1 pointer-driven text	0x065B7	<F0><BB><A1><8D><A2><AD><8B><A7><B4><90><99><9A><00><94><A7><0F><83><96><91><09><B2><98><B2><FF>	0x065D1	<F0><BB><00>TORA<00>TOOK<00>THE<00>GIRL<CA><FF>	0x05E40	0x065E8	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-055	Bank 1 pointer-driven text	0x065CF	<F0><BB><8D><89><B4><94><8C><93><B2><99><9A><00><A4><9F><A4><9F><10><06><00><07><A8><06><81><A9><F8><F9><00><86><AC><A8><94><82><B4><91><B5><AF><95><AE><10><06><CB><FF>	0x065E8	<F0><BB><00>I<00>CAN<B6>T<00>GO<00>WITH<00>YOU<B9><00>SO<B9><F8>INSTEAD<CB><00>LET<00>ME<00>TEACH<00>YOU<FF>	0x05E42	0x0661E	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
PTR-056	Bank 1 pointer-driven text	0x065F9	<F0><BB><8A><99><00><14><8D><AD><83><89><94><B4><93><88><AA><00><81><B4><8C><99><00><82><99><91><10><FF>	0x0661E	<F0><BB><00>MY<00>FAMOUS<00>DAGGER<00>ATTACK<CA><FF>	0x05E44	0x0663A	UNKNOWN	needs_japanese_dialogue_glyph_map	structural-high; Japanese glyph map pending	Pointer index is paired across base/reference. Japanese bytes remain tokenized until the dialogue tile path is mapped.
