frame	role	address	value	pc	y	source_byte	mapper_control	mapper_select	ppu_control	r0	r1	r2	r3	r4	r5	r6	r7
710	top	71F9	C4	95AE	21	C4	07	7	8C	3C	3E	30	31	32	33	02	03
710	bottom	71FA	E4	95B3	21	C4	07	7	8C	3C	3E	30	31	32	33	02	03
712	top	71FF	C5	95AE	22	C5	07	7	8C	3C	3E	30	31	32	33	02	03
712	bottom	7200	E5	95B3	22	C5	07	7	8C	3C	3E	30	31	32	33	02	03
714	top	7205	B1	95AE	23	00	07	7	8C	3C	3E	30	31	32	33	02	03
714	bottom	7206	00	95B3	23	00	07	7	8C	3C	3E	30	31	32	33	02	03
716	top	720B	C0	95AE	24	C0	07	7	8C	3C	3E	30	31	32	33	02	03
716	bottom	720C	E0	95B3	24	C0	07	7	8C	3C	3E	30	31	32	33	02	03
718	top	7211	C1	95AE	25	C1	07	7	8C	3C	3E	30	31	32	33	02	03
718	bottom	7212	E1	95B3	25	C1	07	7	8C	3C	3E	30	31	32	33	02	03
720	top	7217	C2	95AE	26	C2	07	7	8C	3C	3E	30	31	32	33	02	03
720	bottom	7218	E2	95B3	26	C2	07	7	8C	3C	3E	30	31	32	33	02	03
722	top	711D	C3	95AE	27	C3	07	7	8C	3C	3E	30	31	32	33	02	03
722	bottom	711E	E3	95B3	27	C3	07	7	8C	3C	3E	30	31	32	33	02	03
724	top	7123	C4	95AE	28	C4	07	7	8C	3C	3E	30	31	32	33	02	03
724	bottom	7124	E4	95B3	28	C4	07	7	8C	3C	3E	30	31	32	33	02	03
726	top	7129	C5	95AE	29	C5	07	7	8C	3C	3E	30	31	32	33	02	03
726	bottom	712A	E5	95B3	29	C5	07	7	8C	3C	3E	30	31	32	33	02	03
728	top	712F	C6	95AE	2A	C6	07	7	8C	3C	3E	30	31	32	33	02	03
728	bottom	7130	E6	95B3	2A	C6	07	7	8C	3C	3E	30	31	32	33	02	03
730	top	7135	C7	95AE	2B	C7	07	7	8C	3C	3E	30	31	32	33	02	03
730	bottom	7136	E7	95B3	2B	C7	07	7	8C	3C	3E	30	31	32	33	02	03
732	top	713B	B1	95AE	2C	CA	07	7	8C	3C	3E	30	31	32	33	02	03
732	bottom	713C	CA	95B3	2C	CA	07	7	8C	3C	3E	30	31	32	33	02	03
734	top	7141	B1	95AE	2D	00	07	7	8C	3C	3E	30	31	32	33	02	03
734	bottom	7142	00	95B3	2D	00	07	7	8C	3C	3E	30	31	32	33	02	03
