nametable	row	values
1	16	04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 5A 5B 5C 5D
1	17	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 53
1	18	03 E0 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03
1	19	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 F0 03 03 03 03 E0 03 03 03
1	20	03 F0 03 03 03 E0 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
1	21	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
1	22	03 03 E0 03 03 03 F0 03 03 E0 03 03 03 03 03 F0 03 03 03 03 E0 03 03 03 03 03 03 03 E0 F0 03 03
1	23	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
1	24	00 00 80 81 82 83 00 00 00 84 85 86 87 00 00 00 88 89 8A 8B 00 00 00 8C 8D 8E 8F 00 B8 00 00 00
1	25	00 7E A0 A1 A2 A3 00 00 00 A4 A5 A6 A7 00 00 00 A8 A9 AA AB 00 00 00 AC AD AE AF 00 00 00 00 00
1	26	00 00 8C 8D 90 91 00 00 00 92 93 94 95 00 00 00 96 97 98 99 00 00 00 9A 9B 8A 8B 00 B8 00 00 00
1	27	00 00 AC AD B0 B1 00 00 00 B2 B3 B4 B5 00 00 00 B6 B7 B8 B9 00 00 00 BA BB AA AB 00 00 00 00 00
1	28	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1	29	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	1	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	2	00 00 00 88 96 9F 8B 00 D5 D5 00 00 00 00 00 00 00 92 A9 9F 92 00 D5 D5 00 00 00 00 00 00 00 00
2	3	00 00 00 00 00 00 00 00 D8 D8 00 00 00 00 00 00 00 00 00 00 00 00 D8 D8 00 00 00 00 00 00 00 00
2	4	02 00 00 00 00 00 00 00 00 00 1A 1B 1B 1B 1C 0C 00 47 48 48 48 49 24 24 25 26 24 24 ED EE EF 00
2	5	02 00 00 00 00 00 00 00 00 00 2A 2B 2B 2B 2C 3D 00 47 48 48 48 49 24 24 25 26 24 24 ED EE EF 00
2	6	02 00 00 00 00 00 00 00 00 00 2D 1D 1D 1D 1D 4D 00 47 48 48 48 49 60 60 60 60 60 60 ED EE EF 00
2	7	9D 00 00 00 00 00 00 00 00 00 0E 0F 0F 0F 0F 0F 00 37 38 38 38 39 70 70 70 70 70 70 FD FE FF 00
2	8	11 00 00 00 00 00 00 00 00 00 10 11 10 11 10 11 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57 57
2	9	21 00 00 00 00 00 00 00 00 00 20 21 20 21 20 21 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67
2	10	7C 00 00 00 00 00 00 00 00 00 0A 0A 30 31 30 31 00 00 00 00 58 59 C2 C3 58 59 27 28 28 28 29 00
2	11	01 00 00 00 00 00 00 00 00 00 00 00 40 41 40 41 00 35 36 00 03 69 D2 D3 03 69 47 48 48 48 49 CF
2	12	01 00 00 00 00 00 00 00 00 00 24 24 4E 4F 4E 4F 44 45 46 00 03 69 E2 E3 03 69 47 48 48 48 49 DF
2	13	01 00 00 00 00 00 00 00 00 00 24 24 1E 1F 1E 1F 54 55 56 00 78 79 F2 F3 78 79 37 38 38 38 39 00
2	14	01 00 00 00 00 00 00 00 00 00 33 33 1E 1F 1E 1F 3A 3B 3C 00 00 00 00 00 00 00 12 13 13 13 14 00
2	15	01 00 00 00 00 00 00 00 00 00 12 13 13 13 14 1F 4A 4B 4C 00 50 51 51 51 51 51 22 00 22 00 22 00
2	16	01 00 00 00 00 00 00 00 00 00 22 00 22 00 22 23 5A 5B 5C 5D 04 04 04 04 04 04 04 04 04 04 04 04
2	17	01 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
2	18	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 E0 03 03 03
2	19	03 00 00 00 00 00 00 00 00 00 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
2	20	E0 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 E0 03 03 03 E0 03 03 03 E0 03 03 F0 03
2	21	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 F0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
2	22	03 00 00 00 00 00 00 00 00 00 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 E0 03 03
2	23	03 00 00 00 00 00 00 00 00 00 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 F0 03 03 03 03 03 03 03
2	24	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	25	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	26	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	27	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	28	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2	29	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3	0	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3	1	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3	2	00 00 00 88 96 9F 8B 00 00 00 00 C2 C0 C0 CF 00 00 92 A9 9F 92 00 00 00 00 C2 C0 C0 CF 00 00 00
3	3	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3	4	47 48 48 48 48 49 02 02 02 02 47 48 48 48 48 49 00 00 02 02 02 02 FC 02 02 AE AF 8F 8F 8F AE AF
3	5	47 48 48 48 48 49 02 02 02 02 47 48 48 48 48 49 00 00 02 02 02 02 FC 8E 02 BE 9E 00 00 00 9F BF
3	6	47 48 48 48 48 49 DC DC DC DC 47 48 48 48 48 49 00 00 0B 0B 0B 0B FC 02 02 02 8B 8C 8C 8C 8D 02
3	7	37 38 38 38 38 39 DC DC DC DC 37 38 38 38 38 39 00 00 01 01 01 01 9C 9D 9D 9D 9D 9D 9D 9D 9D 9D
3	8	10 11 10 11 10 11 10 11 10 11 10 11 10 11 10 11 00 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 00
3	9	20 21 20 21 20 21 20 21 20 21 20 21 20 21 20 21 00 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 3F 00
3	10	EC EC EC BC BD 01 BB BC BD 01 BB BC BD EC EC EC 00 00 B5 00 7C 2E 7C 2E 7C 2E 01 34 00 00 00 00
3	11	C5 C6 CE CC CD CA CB CC CD CA CB CC CD C4 C5 C6 C7 00 A5 00 01 3E 01 65 66 3E 01 42 00 35 36 00
3	12	D5 D6 DE 00 00 00 00 00 80 81 82 83 00 D4 D5 D6 D7 00 A5 00 01 3E 01 75 76 3E 01 68 44 45 46 00
3	13	E5 E6 FC 00 00 00 00 00 90 91 92 93 00 FC E5 E6 00 00 A5 00 01 3E 01 3E 01 3E 01 3E 54 55 56 00
3	14	F5 F6 FC 00 00 00 00 00 A0 A1 A2 A3 00 FC F5 F6 00 00 A5 00 5E 5F 00 00 00 00 5E 5F 3A 3B 3C 00
3	15	DC DC DD 00 50 51 51 51 B0 B1 B2 B3 00 DC DC DD 00 00 A5 00 1E 1F F7 FA FA FA 1E 1F 4A 4B 4C 00
3	16	04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 04 5A 5B 5C 5D
3	17	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 53
3	18	03 E0 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03
3	19	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 F0 03 03 03 03 E0 03 03 03
3	20	03 F0 03 03 03 E0 03 03 03 03 03 03 03 03 E0 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
3	21	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
3	22	03 03 E0 03 03 03 F0 03 03 E0 03 03 03 03 03 F0 03 03 03 03 E0 03 03 03 03 03 03 03 E0 F0 03 03
3	23	03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03 03
3	24	00 00 80 81 82 83 00 00 00 84 85 86 87 00 00 00 88 89 8A 8B 00 00 00 8C 8D 8E 8F 00 B8 00 00 00
3	25	00 7E A0 A1 A2 A3 00 00 00 A4 A5 A6 A7 00 00 00 A8 A9 AA AB 00 00 00 AC AD AE AF 00 00 00 00 00
3	26	00 00 8C 8D 90 91 00 00 00 92 93 94 95 00 00 00 96 97 98 99 00 00 00 9A 9B 8A 8B 00 B8 00 00 00
3	27	00 00 AC AD B0 B1 00 00 00 B2 B3 B4 B5 00 00 00 B6 B7 B8 B9 00 00 00 BA BB AA AB 00 00 00 00 00
3	28	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3	29	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
